**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.14412169274476708,-0.14221459941837614,-0.15187043357521954,-0.15719479682480292,-0.15549307228462966,-0.12669041612774004,-0.15824145079666888,0.012612258623148912
body,-0.011425345972232421,0.02742540126666897,0.0004992636359985828,0.0062939514553881255,0.006437244282536692,-0.01109528787720742,0.11015697758141968,-0.02919252792631908
price_accel_1b,-0.03236432903217975,0.0047897289359495445,0.005760432494470483,0.011413880120278184,0.015527743966188208,0.014851902689886792,0.05168976400921854,-0.13665305961092838
price_accel_w,0.007607523162251119,0.04824282378279412,0.02046588830243302,0.017103755245808525,-0.0007586781328899884,0.02669315483342466,0.07585813464237713,0.017757313655680437
price_mean_w,0.120743234457112,0.12078428208406786,0.1208687426079126,0.12089597003981105,0.12351415466356608,0.12412449868745883,0.11454451171319098,0.10051434282799314
price_sigma_w,-0.11577416374933794,-0.15535061255275823,-0.13937609749553495,-0.12871308664418465,-0.009511327495357574,-0.06974675157749066,-0.13382371656420133,-0.03775791668035856
price_velocity_1b,0.0036755810036563203,0.0317245560833643,0.0006470418142433154,0.012610461798852253,0.009571145301471599,-0.012773727035375798,0.09118090824461206,-0.0254829471687327
price_velocity_w,0.011694843399200237,0.0008524773345292313,0.011965107070290405,-0.0004561151441130224,-0.059234872981027566,0.05606115611564434,0.11443428677356254,0.09379821589046013
vol_accel_1b,-0.03550060660133608,-0.025520614250776504,-0.010281666594907776,0.0019696947284461243,-0.0412241813921711,-0.03937911168941178,-0.022211690361422107,0.1012589905149617
vol_accel_w,-0.059845723369698185,-0.029741525541611073,-0.00672114740937621,-0.012042492741878623,-0.03133558057245385,-0.05619666910113409,-0.04136916887983571,0.06600856909133067
vol_mean_w,-0.12222636196966813,-0.1526592836585379,-0.14256505145387868,-0.13242592321447078,-0.14742365539310642,-0.019060009083460987,-0.10061457424473784,-0.03347881323735545
vol_sigma_w,-0.08277447339820189,-0.10171647392460893,-0.13562711089721677,-0.1765093029035585,-0.056151434084525116,0.023686153905556024,-0.07964473382178043,-0.1185895481138799
vol_velocity_1b,-0.048713737264656456,-0.03483623281628108,-0.0030681713101311917,-0.016344131392407122,-0.05034798198346778,-0.021688630509045757,-0.13604292889820754,0.09210086166433036
vol_velocity_w,-0.04494047458406976,-0.039816688916385894,-0.03423579292684871,-0.03155021264242693,-0.0075085588496049535,-0.13610421939757428,-0.04413406292078849,-0.04285689537562885
vwap_w,0.1207383470946044,0.12076569392553226,0.12100434170105097,0.12105322103318716,0.12276821115098106,0.1297493299930121,0.11660537532870821,0.10807990220679951
