**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,pnl_usd,r_price,atr_pts
2026_03_10,1773180009,SHORT,25217.25,1773183609,25191.75,25.5,45.0,21.5,5.375
2026_03_10,1773183609,LONG,25191.75,1773189049,25282.0,90.25,174.5,21.5,5.375
2026_03_10,1773189049,SHORT,25282.0,1773192104,25299.0,-17.0,-40.0,21.5,5.375
2026_03_10,1773192104,LONG,25299.0,1773195154,25295.5,-3.5,-13.0,21.5,5.375
2026_03_10,1773195154,SHORT,25295.5,1773197854,25316.75,-21.25,-48.5,21.5,5.375
2026_03_10,1773197854,LONG,25316.75,1773203829,25320.0,3.25,0.5,21.5,5.375
2026_03_11,1773212729,SHORT,25240.0,1773215329,25186.5,53.5,101.0,21.0,5.25
2026_03_11,1773215329,LONG,25186.5,1773218284,25217.0,30.5,55.0,21.0,5.25
2026_03_11,1773218284,SHORT,25217.0,1773220654,25166.0,51.0,96.0,21.0,5.25
2026_03_11,1773220654,LONG,25166.0,1773221334,25142.5,-23.5,-53.0,21.0,5.25
2026_03_11,1773221334,SHORT,25142.5,1773223424,25145.0,-2.5,-11.0,21.0,5.25
2026_03_11,1773223424,LONG,25145.0,1773227239,25231.5,86.5,167.0,21.0,5.25
2026_03_11,1773227239,SHORT,25231.5,1773229809,25194.75,36.75,67.5,21.0,5.25
2026_03_11,1773229809,LONG,25194.75,1773230674,25165.5,-29.25,-64.5,21.0,5.25
2026_03_11,1773230674,SHORT,25165.5,1773231749,25188.5,-23.0,-52.0,21.0,5.25
2026_03_11,1773231749,LONG,25188.5,1773232259,25205.0,16.5,27.0,21.0,5.25
2026_03_11,1773232259,SHORT,25205.0,1773233309,25149.5,55.5,105.0,21.0,5.25
2026_03_11,1773233309,LONG,25149.5,1773236559,25308.0,158.5,311.0,21.0,5.25
2026_03_11,1773236559,SHORT,25308.0,1773237164,25256.0,52.0,98.0,21.0,5.25
2026_03_11,1773237164,LONG,25256.0,1773237709,25370.5,114.5,223.0,21.0,5.25
2026_03_11,1773237709,SHORT,25370.5,1773239704,25201.0,169.5,333.0,21.0,5.25
2026_03_11,1773239704,LONG,25201.0,1773241309,25283.25,82.25,158.5,21.0,5.25
2026_03_11,1773241309,SHORT,25283.25,1773241994,25195.5,87.75,169.5,21.0,5.25
2026_03_11,1773241994,LONG,25195.5,1773242774,25206.5,11.0,16.0,21.0,5.25
2026_03_11,1773242774,SHORT,25206.5,1773243189,25154.5,52.0,98.0,21.0,5.25
2026_03_11,1773243189,LONG,25154.5,1773243554,25152.75,-1.75,-9.5,21.0,5.25
2026_03_11,1773243554,SHORT,25152.75,1773244169,25130.75,22.0,38.0,21.0,5.25
2026_03_11,1773244169,LONG,25130.75,1773244709,25148.5,17.75,29.5,21.0,5.25
2026_03_11,1773244709,SHORT,25148.5,1773245414,25134.5,14.0,22.0,21.0,5.25
2026_03_11,1773245414,LONG,25134.5,1773245794,25129.75,-4.75,-15.5,21.0,5.25
2026_03_11,1773245794,SHORT,25129.75,1773246179,25151.5,-21.75,-49.5,21.0,5.25
2026_03_11,1773246179,LONG,25151.5,1773247124,25199.75,48.25,90.5,21.0,5.25
2026_03_11,1773247124,SHORT,25199.75,1773247989,25207.5,-7.75,-21.5,21.0,5.25
2026_03_11,1773247989,LONG,25207.5,1773248524,25220.25,12.75,19.5,21.0,5.25
2026_03_11,1773248524,SHORT,25220.25,1773249649,25212.75,7.5,9.0,21.0,5.25
2026_03_11,1773249649,LONG,25212.75,1773250559,25209.0,-3.75,-13.5,21.0,5.25
2026_03_11,1773250559,SHORT,25209.0,1773251004,25140.0,69.0,132.0,21.0,5.25
2026_03_11,1773251004,LONG,25140.0,1773251614,25174.5,34.5,63.0,21.0,5.25
2026_03_11,1773251614,SHORT,25174.5,1773252889,25130.0,44.5,83.0,21.0,5.25
2026_03_11,1773252889,LONG,25130.0,1773255549,25173.5,43.5,81.0,21.0,5.25
2026_03_11,1773255549,SHORT,25173.5,1773256784,25157.25,16.25,26.5,21.0,5.25
2026_03_11,1773256784,LONG,25157.25,1773259174,25202.0,44.75,83.5,21.0,5.25
2026_03_11,1773259174,SHORT,25202.0,1773269139,25056.25,145.75,285.5,21.0,5.25
2026_03_11,1773269139,LONG,25056.25,1773270529,25047.25,-9.0,-24.0,21.0,5.25
2026_03_11,1773270529,SHORT,25047.25,1773270609,25031.75,15.5,25.0,21.0,5.25
2026_03_11,1773270609,LONG,25031.75,1773271409,25040.0,8.25,10.5,21.0,5.25
2026_03_11,1773271409,SHORT,25040.0,1773272859,24969.0,71.0,136.0,21.0,5.25
2026_03_11,1773272859,LONG,24969.0,1773273699,24986.0,17.0,28.0,21.0,5.25
2026_03_11,1773273699,SHORT,24986.0,1773274214,24980.0,6.0,6.0,21.0,5.25
2026_03_11,1773274214,LONG,24980.0,1773276709,24998.0,18.0,30.0,21.0,5.25
2026_03_11,1773276709,SHORT,24998.0,1773278139,25010.0,-12.0,-30.0,21.0,5.25
