split,rule,LO,HI,mean_delta,ci_lo,ci_hi,sig,n_days
IS_WF,rank_0.7_1.3,0.7,1.3,249.29005923951627,113.30308585747683,423.5274866192369,True,170.0
IS_WF,rank_0.5_1.5,0.5,1.5,415.4834320658603,188.83847642912804,705.879144365395,True,170.0
IS_WF,rank_0.3_1.7,0.3,1.7,581.6768048922045,264.3738670007791,988.2308021115526,True,170.0
IS_WF,rank_0.0_2.0,0.0,2.0,830.9668641317206,377.676952858256,1411.75828873079,True,170.0
OOS_sealed,rank_0.7_1.3,0.7,1.3,-20.23393380918532,-67.88955408453106,33.944704698305785,False,
OOS_sealed,rank_0.5_1.5,0.5,1.5,-33.72322301530886,-113.14925680755172,56.57450783050965,False,
OOS_sealed,rank_0.3_1.7,0.3,1.7,-47.21251222143243,-158.4089595305725,79.20431096271344,False,
OOS_sealed,rank_0.0_2.0,0.0,2.0,-67.44644603061774,-226.29851361510345,113.14901566101926,False,
