trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
3703,2025_05_08,PEAK,long,4.0,48.0,counter_extended,65,1746736200.0,0,PEAK.0
3714,2025_05_09,PEAK,short,-2.5,107.5,same_early,120,1746758760.0,2,PEAK.2
3716,2025_05_09,PEAK,long,16.5,162.0,same_extended,87,1746759900.0,0,PEAK.0
3752,2025_05_11,PEAK,short,28.5,127.0,same_early,15,1747002120.0,2,PEAK.2
3833,2025_05_13,PEAK,long,7.0,90.0,same_extended,57,1747167180.0,0,PEAK.0
3848,2025_05_14,PEAK,short,-3.0,116.0,counter_extended,111,1747193280.0,2,PEAK.2
3895,2025_05_15,PEAK,long,-12.0,263.5,counter_extended,56,1747288140.0,0,PEAK.0
3915,2025_05_15,PEAK,short,-44.5,267.5,counter_extended,93,1747322460.0,2,PEAK.2
4014,2025_05_19,PEAK,short,-4.0,354.0,counter_extended,39,1747662900.0,2,PEAK.2
4035,2025_05_20,PEAK,long,-16.0,156.5,counter_extended,73,1747704120.0,0,PEAK.0
4042,2025_05_20,PEAK,long,-10.5,95.0,same_extended,114,1747713840.0,0,PEAK.0
4048,2025_05_20,PEAK,long,23.0,165.0,same_extended,59,1747722600.0,0,PEAK.0
4107,2025_05_21,PEAK,long,-37.0,544.5,same_extended,1,1747821660.0,0,PEAK.0
4217,2025_05_25,PEAK,short,80.5,82.0,same_early,39,1748212740.0,2,PEAK.2
4249,2025_05_26,PEAK,short,-6.5,86.5,same_extended,49,1748274840.0,2,PEAK.2
4335,2025_05_28,PEAK,long,61.0,830.5,same_extended,6,1748462760.0,2,PEAK.2
4393,2025_05_30,PEAK,long,-25.0,210.5,same_extended,2,1748567940.0,0,PEAK.0
4463,2025_06_02,PEAK,short,3.0,142.5,counter_extended,111,1748889300.0,2,PEAK.2
4467,2025_06_02,PEAK,short,8.0,188.5,same_extended,2,1748895540.0,2,PEAK.2
4476,2025_06_03,PEAK,long,-8.5,101.0,counter_extended,70,1748917800.0,0,PEAK.0
4678,2025_06_09,PEAK,long,10.5,90.0,same_extended,83,1749500400.0,0,PEAK.0
4681,2025_06_09,PEAK,short,8.0,29.5,same_early,112,1749508080.0,2,PEAK.2
4687,2025_06_10,PEAK,short,-19.0,247.0,same_extended,64,1749518100.0,2,PEAK.2
4782,2025_06_12,PEAK,short,-25.5,347.5,counter_extended,38,1749718980.0,2,PEAK.2
4783,2025_06_12,PEAK,short,2.5,323.5,counter_extended,56,1749719640.0,2,PEAK.2
4811,2025_06_13,PEAK,long,43.5,208.5,counter_extended,43,1749775380.0,3,PEAK.3
4865,2025_06_16,PEAK,long,7.0,223.5,same_extended,4,1750048680.0,0,PEAK.0
4868,2025_06_16,PEAK,short,12.0,210.5,counter_extended,37,1750052640.0,2,PEAK.2
4954,2025_06_18,PEAK,long,-27.0,166.0,same_extended,94,1750243140.0,0,PEAK.0
5001,2025_07_01,PEAK,short,-8.0,127.0,same_extended,8,1751328960.0,1,PEAK.1
5002,2025_07_01,PEAK,short,-9.5,138.0,same_extended,1,1751330280.0,1,PEAK.1
5047,2025_07_02,PEAK,short,-3.5,136.0,counter_extended,22,1751423640.0,2,PEAK.2
5049,2025_07_02,PEAK,short,12.5,98.5,same_extended,69,1751426460.0,2,PEAK.2
5097,2025_07_03,PEAK,long,6.5,486.5,same_extended,2,1751534160.0,0,PEAK.0
5249,2025_07_09,PEAK,long,9.5,195.0,same_extended,8,1752041640.0,0,PEAK.0
5329,2025_07_11,PEAK,long,14.0,196.5,same_extended,42,1752194700.0,3,PEAK.3
5330,2025_07_11,PEAK,long,47.5,174.0,same_extended,53,1752195360.0,3,PEAK.3
5368,2025_07_11,PEAK,long,12.5,25.5,same_extended,106,1752265260.0,0,PEAK.0
5371,2025_07_13,PEAK,long,-22.5,101.5,same_extended,6,1752445020.0,3,PEAK.3
5372,2025_07_13,PEAK,long,45.0,118.0,same_early,6,1752445380.0,3,PEAK.3
5404,2025_07_14,PEAK,short,33.0,102.0,counter_extended,87,1752505860.0,2,PEAK.2
5426,2025_07_15,PEAK,long,-24.5,204.0,same_extended,86,1752546600.0,0,PEAK.0
5427,2025_07_15,PEAK,long,12.5,237.5,same_extended,70,1752547440.0,0,PEAK.0
5551,2025_07_17,PEAK,short,25.0,79.0,counter_extended,101,1752765420.0,2,PEAK.2
5616,2025_07_21,PEAK,short,1.5,78.0,counter_extended,54,1753073040.0,2,PEAK.2
