trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
6336,2025_08_25,KILL_SHOT,short,-7.0,32.5,same_extended,118,1756159680.0,1,KILL_SHOT.1
6397,2025_08_27,KILL_SHOT,long,11.5,194.0,counter_extended,11,1756291260.0,1,KILL_SHOT.1
6454,2025_08_29,KILL_SHOT,short,8.5,71.0,same_extended,29,1756429440.0,1,KILL_SHOT.1
6467,2025_08_29,KILL_SHOT,long,-11.0,487.0,counter_extended,14,1756467240.0,1,KILL_SHOT.1
6470,2025_08_29,KILL_SHOT,short,98.0,524.0,same_extended,72,1756474920.0,4,KILL_SHOT.4
6503,2025_09_01,KILL_SHOT,long,1.5,80.5,counter_extended,12,1756723920.0,1,KILL_SHOT.1
6561,2025_09_03,KILL_SHOT,long,8.0,246.0,same_extended,35,1756872900.0,1,KILL_SHOT.1
6735,2025_09_09,KILL_SHOT,long,10.5,226.0,counter_extended,81,1757419440.0,5,KILL_SHOT.5
6741,2025_09_09,KILL_SHOT,long,-1.5,194.5,same_extended,102,1757435100.0,5,KILL_SHOT.5
6744,2025_09_09,KILL_SHOT,long,14.5,158.0,same_extended,116,1757441880.0,3,KILL_SHOT.3
6759,2025_09_10,KILL_SHOT,short,8.0,154.5,counter_extended,59,1757490600.0,1,KILL_SHOT.1
6805,2025_09_11,KILL_SHOT,long,4.5,197.5,same_extended,83,1757588880.0,1,KILL_SHOT.1
6818,2025_09_11,KILL_SHOT,long,-10.5,60.0,counter_extended,81,1757617860.0,1,KILL_SHOT.1
6864,2025_09_14,KILL_SHOT,long,3.5,43.5,counter_extended,50,1757891100.0,1,KILL_SHOT.1
6876,2025_09_15,KILL_SHOT,short,7.0,142.0,same_extended,9,1757920200.0,0,KILL_SHOT.0
6877,2025_09_15,KILL_SHOT,long,18.5,139.0,same_extended,24,1757921100.0,1,KILL_SHOT.1
6927,2025_09_16,KILL_SHOT,short,15.0,81.0,counter_extended,120,1758037740.0,1,KILL_SHOT.1
6930,2025_09_16,KILL_SHOT,short,3.5,57.5,counter_extended,58,1758042120.0,1,KILL_SHOT.1
6973,2025_09_18,KILL_SHOT,long,10.5,214.5,same_extended,7,1758172320.0,1,KILL_SHOT.1
7013,2025_10_01,KILL_SHOT,long,27.0,350.5,same_extended,18,1759305900.0,7,KILL_SHOT.7
7031,2025_10_01,KILL_SHOT,long,10.5,60.5,counter_extended,117,1759344660.0,7,KILL_SHOT.7
7032,2025_10_01,KILL_SHOT,long,10.5,55.5,counter_extended,120,1759345200.0,7,KILL_SHOT.7
7057,2025_10_02,KILL_SHOT,short,1.0,225.5,same_extended,29,1759401000.0,7,KILL_SHOT.7
7072,2025_10_02,KILL_SHOT,long,17.5,51.5,same_extended,111,1759431300.0,1,KILL_SHOT.1
7109,2025_10_03,KILL_SHOT,short,4.0,390.0,same_extended,51,1759510620.0,1,KILL_SHOT.1
7132,2025_10_06,KILL_SHOT,long,2.5,305.5,same_extended,3,1759730880.0,1,KILL_SHOT.1
7151,2025_10_06,KILL_SHOT,short,5.5,163.5,counter_extended,50,1759764660.0,1,KILL_SHOT.1
7250,2025_10_09,KILL_SHOT,short,15.0,168.0,same_extended,3,1759996140.0,1,KILL_SHOT.1
7252,2025_10_09,KILL_SHOT,short,21.0,221.0,same_extended,2,1759999800.0,1,KILL_SHOT.1
7259,2025_10_09,KILL_SHOT,long,14.5,319.0,counter_extended,86,1760014560.0,1,KILL_SHOT.1
7272,2025_10_09,KILL_SHOT,long,18.5,293.0,same_extended,34,1760033340.0,1,KILL_SHOT.1
7297,2025_10_10,KILL_SHOT,long,21.5,164.0,same_extended,98,1760082840.0,2,KILL_SHOT.2
7314,2025_10_10,KILL_SHOT,short,38.5,1013.0,same_extended,109,1760119920.0,2,KILL_SHOT.2
7345,2025_10_13,KILL_SHOT,long,29.0,301.0,same_extended,55,1760358300.0,5,KILL_SHOT.5
7440,2025_10_15,KILL_SHOT,short,57.0,641.5,same_extended,118,1760545740.0,4,KILL_SHOT.4
7478,2025_10_16,KILL_SHOT,short,51.0,681.0,same_extended,86,1760630940.0,4,KILL_SHOT.4
7542,2025_10_20,KILL_SHOT,short,13.0,173.5,same_extended,4,1760944500.0,1,KILL_SHOT.1
7687,2025_10_23,KILL_SHOT,long,22.0,123.0,same_extended,9,1761249600.0,3,KILL_SHOT.3
7707,2025_10_24,KILL_SHOT,long,12.5,421.0,same_extended,8,1761293640.0,1,KILL_SHOT.1
7721,2025_10_24,KILL_SHOT,long,33.0,118.5,same_extended,63,1761321540.0,7,KILL_SHOT.7
7747,2025_10_27,KILL_SHOT,long,9.0,175.0,same_extended,117,1761538260.0,1,KILL_SHOT.1
7748,2025_10_27,KILL_SHOT,long,8.0,179.5,same_extended,4,1761539940.0,1,KILL_SHOT.1
7761,2025_10_27,KILL_SHOT,short,-12.5,218.5,counter_extended,18,1761566760.0,1,KILL_SHOT.1
7774,2025_10_27,KILL_SHOT,long,11.5,192.5,same_extended,42,1761588360.0,1,KILL_SHOT.1
7783,2025_10_28,KILL_SHOT,short,12.5,51.5,same_extended,77,1761614340.0,1,KILL_SHOT.1
7795,2025_10_28,KILL_SHOT,short,1.0,275.0,counter_extended,14,1761639900.0,1,KILL_SHOT.1
7822,2025_10_28,KILL_SHOT,short,10.0,28.0,counter_extended,113,1761692700.0,1,KILL_SHOT.1
7828,2025_10_29,KILL_SHOT,short,7.5,165.5,counter_extended,47,1761702180.0,0,KILL_SHOT.0
7829,2025_10_29,KILL_SHOT,long,59.0,215.0,same_extended,68,1761703440.0,5,KILL_SHOT.5
7857,2025_10_29,KILL_SHOT,short,112.0,200.5,counter_extended,60,1761766920.0,1,KILL_SHOT.1
7937,2025_10_31,KILL_SHOT,short,12.5,382.0,counter_extended,120,1761932040.0,2,KILL_SHOT.2
