**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,hour_bucket,n,mean_fwd,win_rate
price_sigma_w,5s,UP_SMOOTH,pre_market,103,2.662621359223301,0.6213592233009708
price_sigma_w,5s,UP_SMOOTH,asia_close,88,-4.5397727272727275,0.5113636363636364
price_sigma_w,5s,UP_SMOOTH,eu_open,200,3.29,0.64
price_sigma_w,5s,UP_SMOOTH,us_pre,117,156.52564102564102,0.811965811965812
price_sigma_w,5s,UP_SMOOTH,us_open,288,51.81684027777778,0.7986111111111112
price_sigma_w,5s,UP_SMOOTH,us_morning,206,71.75728155339806,0.6796116504854369
price_sigma_w,5s,UP_SMOOTH,us_lunch,115,101.14565217391305,0.782608695652174
price_sigma_w,5s,UP_SMOOTH,us_pm,122,42.817622950819676,0.5081967213114754
price_sigma_w,5s,UP_SMOOTH,after_close,192,21.692708333333332,0.640625
price_sigma_w,5s,UP_CHOPPY,pre_market,53,12.70754716981132,0.5283018867924528
price_sigma_w,5s,UP_CHOPPY,asia_close,59,63.66949152542373,0.5932203389830508
price_sigma_w,5s,UP_CHOPPY,eu_open,121,28.50826446280992,0.6198347107438017
price_sigma_w,5s,UP_CHOPPY,us_pre,61,50.48360655737705,0.639344262295082
price_sigma_w,5s,UP_CHOPPY,us_open,179,42.86731843575419,0.6815642458100558
price_sigma_w,5s,UP_CHOPPY,us_morning,127,32.54527559055118,0.6692913385826772
price_sigma_w,5s,UP_CHOPPY,us_lunch,62,28.04032258064516,0.6935483870967742
price_sigma_w,5s,UP_CHOPPY,us_pm,57,57.12280701754386,0.7017543859649122
price_sigma_w,5s,UP_CHOPPY,after_close,66,13.821969696969697,0.6363636363636364
price_sigma_w,5s,DOWN_SMOOTH,pre_market,97,-21.945876288659793,0.38144329896907214
price_sigma_w,5s,DOWN_SMOOTH,asia_close,53,-11.462264150943396,0.4716981132075472
price_sigma_w,5s,DOWN_SMOOTH,eu_open,109,-22.160550458715598,0.44954128440366975
price_sigma_w,5s,DOWN_SMOOTH,us_pre,50,-103.335,0.26
price_sigma_w,5s,DOWN_SMOOTH,us_open,169,-49.05917159763314,0.3668639053254438
price_sigma_w,5s,DOWN_SMOOTH,us_morning,148,-39.6722972972973,0.4189189189189189
price_sigma_w,5s,DOWN_SMOOTH,us_lunch,75,-52.32,0.26666666666666666
price_sigma_w,5s,DOWN_SMOOTH,us_pm,101,-33.70792079207921,0.45544554455445546
price_sigma_w,5s,DOWN_SMOOTH,after_close,131,-46.30152671755725,0.48091603053435117
price_sigma_w,5s,DOWN_CHOPPY,eu_open,51,-19.622549019607842,0.39215686274509803
price_sigma_w,5s,DOWN_CHOPPY,us_pre,55,-37.91818181818182,0.4
price_sigma_w,5s,DOWN_CHOPPY,us_open,151,-22.841059602649008,0.3443708609271523
price_sigma_w,5s,DOWN_CHOPPY,us_morning,111,-19.06756756756757,0.44144144144144143
price_sigma_w,5s,DOWN_CHOPPY,us_lunch,68,-34.518382352941174,0.35294117647058826
price_sigma_w,5s,DOWN_CHOPPY,us_pm,74,-22.64527027027027,0.32432432432432434
price_sigma_w,5s,DOWN_CHOPPY,after_close,46,-41.52173913043478,0.41304347826086957
price_sigma_w,5s,FLAT_SMOOTH,pre_market,162,1.9074074074074074,0.5493827160493827
price_sigma_w,5s,FLAT_SMOOTH,asia_close,130,6.480769230769231,0.5846153846153846
price_sigma_w,5s,FLAT_SMOOTH,eu_open,208,-0.11899038461538461,0.4855769230769231
price_sigma_w,5s,FLAT_SMOOTH,us_pre,117,-7.141025641025641,0.47863247863247865
price_sigma_w,5s,FLAT_SMOOTH,us_open,366,-10.62295081967213,0.5
price_sigma_w,5s,FLAT_SMOOTH,us_morning,283,-10.556537102473499,0.5300353356890459
price_sigma_w,5s,FLAT_SMOOTH,us_lunch,165,29.937878787878788,0.6909090909090909
price_sigma_w,5s,FLAT_SMOOTH,us_pm,185,-10.172972972972973,0.4972972972972973
price_sigma_w,5s,FLAT_SMOOTH,after_close,363,-2.6274104683195594,0.49586776859504134
price_sigma_w,5s,FLAT_CHOPPY,pre_market,304,13.73108552631579,0.5822368421052632
price_sigma_w,5s,FLAT_CHOPPY,asia_close,182,-8.946428571428571,0.4340659340659341
price_sigma_w,5s,FLAT_CHOPPY,eu_open,407,1.4471744471744472,0.4987714987714988
price_sigma_w,5s,FLAT_CHOPPY,us_pre,282,12.638297872340425,0.524822695035461
price_sigma_w,5s,FLAT_CHOPPY,us_open,692,-11.235187861271676,0.49421965317919075
price_sigma_w,5s,FLAT_CHOPPY,us_morning,553,8.230560578661844,0.566003616636528
price_sigma_w,5s,FLAT_CHOPPY,us_lunch,348,10.688218390804598,0.5258620689655172
price_sigma_w,5s,FLAT_CHOPPY,us_pm,408,1.7524509803921569,0.5073529411764706
price_sigma_w,5s,FLAT_CHOPPY,after_close,487,-12.951745379876797,0.5030800821355236
price_sigma_w,1m,UP_SMOOTH,pre_market,89,-8.457865168539326,0.4606741573033708
price_sigma_w,1m,UP_SMOOTH,asia_close,79,-9.879746835443038,0.569620253164557
price_sigma_w,1m,UP_SMOOTH,eu_open,141,-15.675531914893616,0.5106382978723404
price_sigma_w,1m,UP_SMOOTH,us_pre,98,95.88775510204081,0.7142857142857143
price_sigma_w,1m,UP_SMOOTH,us_open,327,46.559633027522935,0.7675840978593272
price_sigma_w,1m,UP_SMOOTH,us_morning,232,66.89439655172414,0.6810344827586207
price_sigma_w,1m,UP_SMOOTH,us_lunch,102,121.19117647058823,0.8431372549019608
price_sigma_w,1m,UP_SMOOTH,us_pm,128,46.494140625,0.5546875
price_sigma_w,1m,UP_SMOOTH,after_close,234,25.053418803418804,0.6709401709401709
price_sigma_w,1m,UP_CHOPPY,pre_market,50,24.995,0.7
price_sigma_w,1m,UP_CHOPPY,asia_close,63,59.79365079365079,0.6666666666666666
price_sigma_w,1m,UP_CHOPPY,eu_open,96,31.635416666666668,0.59375
price_sigma_w,1m,UP_CHOPPY,us_pre,54,46.611111111111114,0.5555555555555556
price_sigma_w,1m,UP_CHOPPY,us_open,198,41.22222222222222,0.6868686868686869
price_sigma_w,1m,UP_CHOPPY,us_morning,126,20.724206349206348,0.6190476190476191
price_sigma_w,1m,UP_CHOPPY,us_lunch,78,16.541666666666668,0.5769230769230769
price_sigma_w,1m,UP_CHOPPY,us_pm,51,74.0,0.8431372549019608
price_sigma_w,1m,UP_CHOPPY,after_close,69,20.31159420289855,0.5797101449275363
price_sigma_w,1m,DOWN_SMOOTH,pre_market,95,-10.863157894736842,0.4421052631578947
price_sigma_w,1m,DOWN_SMOOTH,asia_close,36,-8.604166666666666,0.5833333333333334
price_sigma_w,1m,DOWN_SMOOTH,eu_open,64,-38.5078125,0.421875
price_sigma_w,1m,DOWN_SMOOTH,us_pre,45,-104.45,0.24444444444444444
price_sigma_w,1m,DOWN_SMOOTH,us_open,198,-40.698232323232325,0.37373737373737376
price_sigma_w,1m,DOWN_SMOOTH,us_morning,155,-34.193548387096776,0.41935483870967744
price_sigma_w,1m,DOWN_SMOOTH,us_lunch,105,-61.08571428571429,0.26666666666666666
price_sigma_w,1m,DOWN_SMOOTH,us_pm,107,-31.766355140186917,0.4766355140186916
price_sigma_w,1m,DOWN_SMOOTH,after_close,128,-58.0234375,0.5078125
price_sigma_w,1m,DOWN_CHOPPY,eu_open,35,-13.121428571428572,0.42857142857142855
price_sigma_w,1m,DOWN_CHOPPY,us_pre,44,-19.27840909090909,0.4772727272727273
price_sigma_w,1m,DOWN_CHOPPY,us_open,146,-26.589041095890412,0.3424657534246575
price_sigma_w,1m,DOWN_CHOPPY,us_morning,130,-19.807692307692307,0.4230769230769231
price_sigma_w,1m,DOWN_CHOPPY,us_lunch,94,-20.56117021276596,0.4148936170212766
price_sigma_w,1m,DOWN_CHOPPY,us_pm,57,-21.06140350877193,0.3333333333333333
price_sigma_w,1m,DOWN_CHOPPY,after_close,46,-36.78804347826087,0.41304347826086957
price_sigma_w,1m,FLAT_SMOOTH,pre_market,165,3.378787878787879,0.5454545454545454
price_sigma_w,1m,FLAT_SMOOTH,asia_close,110,8.51590909090909,0.5636363636363636
price_sigma_w,1m,FLAT_SMOOTH,eu_open,186,2.3091397849462365,0.521505376344086
price_sigma_w,1m,FLAT_SMOOTH,us_pre,98,2.4158163265306123,0.5204081632653061
price_sigma_w,1m,FLAT_SMOOTH,us_open,381,-10.702755905511811,0.5144356955380578
price_sigma_w,1m,FLAT_SMOOTH,us_morning,343,-11.877551020408163,0.5043731778425656
price_sigma_w,1m,FLAT_SMOOTH,us_lunch,193,25.58937823834197,0.6580310880829016
price_sigma_w,1m,FLAT_SMOOTH,us_pm,161,-0.47360248447204967,0.5341614906832298
price_sigma_w,1m,FLAT_SMOOTH,after_close,341,-4.160557184750733,0.47214076246334313
price_sigma_w,1m,FLAT_CHOPPY,pre_market,184,21.82336956521739,0.6195652173913043
price_sigma_w,1m,FLAT_CHOPPY,asia_close,129,-6.104651162790698,0.46511627906976744
price_sigma_w,1m,FLAT_CHOPPY,eu_open,339,-1.3473451327433628,0.5014749262536873
price_sigma_w,1m,FLAT_CHOPPY,us_pre,263,7.418250950570342,0.5399239543726235
price_sigma_w,1m,FLAT_CHOPPY,us_open,774,-10.246770025839794,0.5051679586563308
price_sigma_w,1m,FLAT_CHOPPY,us_morning,655,10.57442748091603,0.583206106870229
price_sigma_w,1m,FLAT_CHOPPY,us_lunch,433,10.06120092378753,0.5334872979214781
price_sigma_w,1m,FLAT_CHOPPY,us_pm,445,1.510112359550562,0.5213483146067416
price_sigma_w,1m,FLAT_CHOPPY,after_close,441,-17.583333333333332,0.4943310657596372
price_sigma_w,5m,UP_SMOOTH,pre_market,99,-1.6717171717171717,0.48484848484848486
price_sigma_w,5m,UP_SMOOTH,asia_close,68,-3.297794117647059,0.5735294117647058
price_sigma_w,5m,UP_SMOOTH,eu_open,156,-13.833333333333334,0.5512820512820513
price_sigma_w,5m,UP_SMOOTH,us_pre,110,82.78181818181818,0.7818181818181819
price_sigma_w,5m,UP_SMOOTH,us_open,315,43.932539682539684,0.7523809523809524
price_sigma_w,5m,UP_SMOOTH,us_morning,232,57.04849137931034,0.625
price_sigma_w,5m,UP_SMOOTH,us_lunch,81,136.13888888888889,0.8024691358024691
price_sigma_w,5m,UP_SMOOTH,us_pm,105,60.98571428571429,0.5904761904761905
price_sigma_w,5m,UP_SMOOTH,after_close,264,23.880681818181817,0.6477272727272727
price_sigma_w,5m,UP_CHOPPY,pre_market,51,22.25980392156863,0.6078431372549019
price_sigma_w,5m,UP_CHOPPY,asia_close,64,56.671875,0.640625
price_sigma_w,5m,UP_CHOPPY,eu_open,90,31.633333333333333,0.6
price_sigma_w,5m,UP_CHOPPY,us_pre,48,46.911458333333336,0.6458333333333334
price_sigma_w,5m,UP_CHOPPY,us_open,180,42.016666666666666,0.6944444444444444
price_sigma_w,5m,UP_CHOPPY,us_morning,135,20.82962962962963,0.6444444444444445
price_sigma_w,5m,UP_CHOPPY,us_lunch,87,18.353448275862068,0.5977011494252874
price_sigma_w,5m,UP_CHOPPY,us_pm,48,80.234375,0.8333333333333334
price_sigma_w,5m,UP_CHOPPY,after_close,82,21.182926829268293,0.5609756097560976
price_sigma_w,5m,DOWN_SMOOTH,pre_market,87,-4.327586206896552,0.4942528735632184
price_sigma_w,5m,DOWN_SMOOTH,eu_open,52,-11.514423076923077,0.5192307692307693
price_sigma_w,5m,DOWN_SMOOTH,us_pre,45,-109.08888888888889,0.2
price_sigma_w,5m,DOWN_SMOOTH,us_open,193,-43.62435233160622,0.37305699481865284
price_sigma_w,5m,DOWN_SMOOTH,us_morning,182,-34.862637362637365,0.4175824175824176
price_sigma_w,5m,DOWN_SMOOTH,us_lunch,106,-70.47877358490567,0.24528301886792453
price_sigma_w,5m,DOWN_SMOOTH,us_pm,107,-23.672897196261683,0.5046728971962616
price_sigma_w,5m,DOWN_SMOOTH,after_close,132,-65.51136363636364,0.5151515151515151
