concept,tf,regime_2d,n_target,n_buckets_with_data,best_bucket,best_bucket_fwd,worst_bucket,worst_bucket_fwd,inversion
vol_mean_w,1h,UP_SMOOTH,1441,5,us_morning,316.75694444444446,pre_market,3.031177829099307,False
price_velocity_1b,1h,UP_SMOOTH,1446,9,us_pre,238.4277108433735,us_pm,0.5509259259259259,False
body,1h,UP_SMOOTH,1446,9,us_pre,238.4277108433735,us_pm,-1.5021929824561404,True
bar_range,1h,UP_SMOOTH,1439,9,us_pre,217.24295774647888,pre_market,-2.1875,True
price_velocity_w,15m,UP_SMOOTH,1434,9,us_pre,196.24722222222223,pre_market,0.02734375,False
swing_noise_w,15m,UP_SMOOTH,1441,8,us_pre,184.025,pre_market,5.192953020134228,False
price_sigma_w,15m,UP_SMOOTH,1432,9,us_pre,164.7155172413793,pre_market,0.7682291666666666,False
price_sigma_w,5s,UP_SMOOTH,1431,9,us_pre,156.52564102564102,pre_market,2.662621359223301,False
price_velocity_1b,1h,DOWN_SMOOTH,948,9,us_open,-151.11309523809524,pre_market,-1.3700980392156863,False
body,1h,DOWN_SMOOTH,936,9,us_open,-151.11309523809524,pre_market,-0.1640625,False
swing_noise_w,5s,UP_SMOOTH,1466,9,us_pre,144.91592920353983,asia_close,-0.4722222222222222,False
swing_noise_w,1h,UP_SMOOTH,1477,9,us_pre,138.16666666666666,pre_market,1.643076923076923,False
price_velocity_w,15m,DOWN_SMOOTH,937,7,us_open,-136.71527777777777,eu_open,-6.047297297297297,False
price_sigma_w,5m,UP_SMOOTH,1430,9,us_lunch,136.13888888888889,pre_market,-1.6717171717171717,True
price_velocity_w,5s,UP_SMOOTH,1490,9,us_pre,129.3875968992248,pre_market,2.319672131147541,False
vol_mean_w,1h,DOWN_SMOOTH,936,4,us_lunch,-129.04166666666666,pre_market,0.6188271604938271,False
swing_noise_w,1m,UP_SMOOTH,1435,9,us_lunch,128.81666666666666,pre_market,-4.849462365591398,True
vol_mean_w,15m,DOWN_CHOPPY,600,5,after_close,-127.53703703703704,us_morning,-18.042708333333334,False
vol_velocity_w,1h,DOWN_SMOOTH,936,5,after_close,-125.30357142857143,us_open,-18.099462365591396,False
vol_velocity_w,1h,DOWN_CHOPPY,600,5,after_close,-123.70833333333333,us_pm,-4.660256410256411,False
price_velocity_w,5m,UP_SMOOTH,1445,9,us_pre,123.44464285714285,asia_close,-0.7631578947368421,False
price_velocity_w,1h,DOWN_SMOOTH,936,6,us_pre,-121.26785714285714,eu_open,-1.9463806970509383,False
price_sigma_w,1m,UP_SMOOTH,1430,9,us_lunch,121.19117647058823,pre_market,-8.457865168539326,True
swing_noise_w,1h,UP_CHOPPY,816,9,asia_close,120.00694444444444,pre_market,-8.752083333333333,True
body,15m,DOWN_SMOOTH,939,9,us_pre,-116.6,pre_market,-3.8108974358974357,False
price_velocity_w,5m,DOWN_SMOOTH,937,9,us_pre,-116.05882352941177,pre_market,-3.355128205128205,False
price_velocity_1b,5m,UP_SMOOTH,1443,9,us_pre,115.99353448275862,pre_market,-0.2569444444444444,False
price_velocity_1b,15m,DOWN_SMOOTH,944,9,us_pre,-113.97413793103448,pre_market,-3.6859375,False
price_velocity_1b,15m,UP_SMOOTH,1453,9,us_pre,113.77182539682539,pre_market,-5.9640522875816995,True
vol_mean_w,5s,DOWN_SMOOTH,933,5,after_close,-113.37254901960785,us_pm,-26.28021978021978,False
swing_noise_w,1m,DOWN_SMOOTH,937,9,us_pre,-111.09693877551021,pre_market,-11.123626373626374,False
bar_range,5m,UP_SMOOTH,1434,9,us_pre,111.07180851063829,pre_market,-9.246794871794872,True
bar_range,1m,UP_SMOOTH,1435,9,us_pre,110.65654205607477,asia_close,-1.5097402597402598,True
vol_velocity_w,15m,DOWN_SMOOTH,934,8,us_pre,-110.11666666666666,asia_close,-4.160256410256411,False
price_sigma_w,5m,DOWN_SMOOTH,933,8,us_pre,-109.08888888888889,pre_market,-4.327586206896552,False
swing_noise_w,5m,UP_SMOOTH,1430,9,us_lunch,107.02319587628865,pre_market,-1.8451086956521738,True
body,5m,UP_SMOOTH,1446,9,us_pre,106.5625,pre_market,-0.7157534246575342,False
bar_range,5m,DOWN_SMOOTH,939,8,us_pre,-105.875,pre_market,-12.695652173913043,False
vol_mean_w,5m,DOWN_SMOOTH,933,5,after_close,-105.53358208955224,us_pm,-30.119642857142857,False
bar_range,1m,DOWN_SMOOTH,945,9,us_pre,-105.05952380952381,asia_close,-22.639705882352942,False
price_sigma_w,1m,DOWN_SMOOTH,933,9,us_pre,-104.45,asia_close,-8.604166666666666,False
swing_noise_w,5s,DOWN_SMOOTH,937,9,us_pre,-104.145,asia_close,-24.0,False
body,5m,DOWN_SMOOTH,959,9,us_pre,-103.98897058823529,pre_market,-3.228187919463087,False
bar_range,1h,UP_CHOPPY,792,9,asia_close,103.80555555555556,pre_market,18.756944444444443,False
vol_velocity_w,1m,DOWN_SMOOTH,933,9,us_pre,-103.80147058823529,pre_market,-9.5275,False
vol_velocity_w,5m,DOWN_SMOOTH,935,9,us_pre,-103.75,pre_market,6.087209302325581,True
price_velocity_1b,5m,DOWN_SMOOTH,952,9,us_pre,-103.64015151515152,pre_market,-3.533333333333333,False
price_velocity_w,1m,UP_SMOOTH,1443,9,us_pre,103.40217391304348,pre_market,-3.104609929078014,True
price_sigma_w,5s,DOWN_SMOOTH,933,9,us_pre,-103.335,asia_close,-11.462264150943396,False
body,1m,UP_SMOOTH,1484,9,us_pre,102.504,pre_market,1.9018987341772151,False
price_velocity_1b,1m,UP_SMOOTH,1510,9,us_pre,100.55443548387096,pre_market,3.0722543352601157,False
