trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
0,03:38,1767325087,long,25603.0,25603.0,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.6132570505142212,2026_01_02
1,06:20,1767334810,long,25643.25,25639.75,-7.0,17,0.5,RM_PIVOT_TPSL,INVERSE,0,-1.3631809949874878,2026_01_02
2,10:17,1767349022,long,25734.0,25734.25,0.5,0,0.5,RM_PIVOT_TPSL,INVERSE,0,-1.1015472412109375,2026_01_02
3,11:31,1767353465,long,25720.75,25722.0,2.5,0,2.5,RM_PIVOT_TPSL,INVERSE,0,-1.2923904657363892,2026_01_02
4,11:50,1767354604,long,25728.5,25692.5,-72.0,24,0.5,RM_PIVOT_TPSL,INVERSE,0,-1.0039827823638916,2026_01_02
5,13:43,1767361382,long,25695.75,25700.0,8.5,4,10.5,RM_PIVOT_TPSL,INVERSE,0,-0.5323423147201538,2026_01_02
0,04:55,1767675314,long,25642.0,25644.0,4.0,2,4.5,RM_PIVOT_TPSL,INVERSE,0,-0.5446239709854126,2026_01_06
1,05:10,1767676216,long,25644.25,25648.25,8.0,2,8.0,RM_PIVOT_TPSL,INVERSE,0,-2.0989012718200684,2026_01_06
2,07:48,1767685692,long,25648.0,25644.5,-7.0,7,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.9869260787963867,2026_01_06
0,02:35,1767753302,long,25806.5,25807.25,1.5,4,5.5,RM_PIVOT_TPSL,INVERSE,0,-1.7997592687606812,2026_01_07
1,07:24,1767770640,long,25776.0,25773.5,-5.0,19,3.0,RM_PIVOT_TPSL,INVERSE,0,-1.304856300354004,2026_01_07
0,00:14,1767831244,long,25821.0,25824.75,7.5,1,14.5,RM_PIVOT_TPSL,INVERSE,0,-2.4254190921783447,2026_01_08
1,02:07,1767838023,long,25839.0,25839.5,1.0,2,2.5,RM_PIVOT_TPSL,INVERSE,0,-2.0650784969329834,2026_01_08
2,02:18,1767838680,long,25832.0,25823.5,-17.0,8,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.63785982131958,2026_01_08
3,10:16,1767867364,long,25752.0,25752.0,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.4772148132324219,2026_01_08
