trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
0,02:16,1735784161,short,21288.25,21288.0,0.5,0,0.5,RM_PIVOT_TPSL,INVERSE,0,0.9838483929634094,2025_01_02
0,01:06,1735866363,long,21235.25,21245.25,20.0,1,21.5,RM_PIVOT_TPSL,INVERSE,0,-1.9748308658599854,2025_01_03
1,02:13,1735870381,long,21230.0,21235.0,10.0,2,14.5,RM_PIVOT_TPSL,INVERSE,0,-1.8128427267074585,2025_01_03
2,02:55,1735872901,long,21233.0,21232.5,-1.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-2.2725753784179688,2025_01_03
3,03:42,1735875722,long,21253.0,21254.75,3.5,2,4.0,RM_PIVOT_TPSL,INVERSE,0,-1.2543880939483643,2025_01_03
4,03:52,1735876323,short,21250.0,21246.0,8.0,0,8.5,RM_PIVOT_TPSL,INVERSE,0,1.299506664276123,2025_01_03
5,03:56,1735876582,long,21249.25,21253.5,8.5,4,11.5,RM_PIVOT_TPSL,INVERSE,0,-1.573373794555664,2025_01_03
0,04:19,1736137148,long,21511.25,21511.5,0.5,0,0.5,RM_PIVOT_TPSL,INVERSE,0,-2.4220569133758545,2025_01_06
0,03:38,1736307491,long,21404.25,21407.0,5.5,1,6.5,RM_PIVOT_TPSL,INVERSE,0,-1.6249115467071533,2025_01_08
1,03:46,1736307964,long,21406.75,21408.0,2.5,0,2.5,RM_PIVOT_TPSL,INVERSE,0,-0.7837445735931396,2025_01_08
2,04:40,1736311215,long,21415.5,21395.5,-40.0,20,0.0,RM_PIVOT_TPSL,INVERSE,0,-0.6039559245109558,2025_01_08
3,09:49,1736329742,long,21418.5,21420.75,4.5,4,6.0,RM_PIVOT_TPSL,INVERSE,0,-1.3328144550323486,2025_01_08
0,01:29,1736386145,long,21316.0,21324.0,16.0,0,17.5,RM_PIVOT_TPSL,INVERSE,0,-0.7388628125190735,2025_01_09
1,04:40,1736397609,long,21305.0,21304.75,-0.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-0.6019240617752075,2025_01_09
2,04:51,1736398274,long,21307.25,21310.75,7.0,0,7.0,RM_PIVOT_TPSL,INVERSE,0,-2.1628267765045166,2025_01_09
3,07:04,1736406244,long,21314.25,21315.0,1.5,8,4.0,RM_PIVOT_TPSL,INVERSE,0,-2.331141233444214,2025_01_09
0,04:38,1736483887,long,21289.5,21289.5,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-0.8202037215232849,2025_01_10
1,04:51,1736484667,long,21294.25,21298.0,7.5,0,7.5,RM_PIVOT_TPSL,INVERSE,0,-2.628817558288574,2025_01_10
0,01:54,1736819650,long,21026.75,21029.0,4.5,3,4.5,RM_PIVOT_TPSL,INVERSE,0,-1.3680652379989624,2025_01_14
1,04:23,1736828587,long,21025.25,21030.75,11.0,0,13.0,RM_PIVOT_TPSL,INVERSE,0,-1.6204594373703003,2025_01_14
2,05:08,1736831280,long,21044.25,21044.0,-0.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.7465832233428955,2025_01_14
