x_feature,y_feature,pair,regime_2d,n,corr_xy,interaction_rms,max_abs_cell_fwd,best_cell_xq,best_cell_yq
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,UP_SMOOTH,6978,0.4038251171404902,44.43161067267522,133.60807291666666,2,0
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,UP_CHOPPY,3924,0.6319807000595165,3.5261654728373917,18.169642857142858,0,0
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,DOWN_SMOOTH,4662,0.6227109047701728,9.766165643628616,-39.93382352941177,1,2
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,DOWN_CHOPPY,2988,0.5747043786468321,10.384279018913077,-24.416666666666668,1,1
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,FLAT_SMOOTH,9402,0.5896520434866381,2.830331152303976,-10.215948275862068,2,2
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_1h_price_velocity_w__x__L3_4h_z_se_w,FLAT_CHOPPY,18123,0.5325925444029986,6.624938151850053,16.882889403590042,0,1
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,UP_SMOOTH,7146,0.4685995876465259,6.625482736497865,25.9296875,1,0
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,UP_CHOPPY,3924,0.5172641402380647,5.07201390618088,29.553571428571427,0,2
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,DOWN_SMOOTH,4662,0.531865407272473,4.687222748850585,-44.57824074074074,1,0
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,DOWN_CHOPPY,2988,0.4393637485415225,10.692909773091337,-31.286057692307693,0,1
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,FLAT_SMOOTH,9738,0.3441212711944724,4.773196563016784,11.16937785388128,0,0
L2_1h_price_velocity_w,L1_4h_body,L2_1h_price_velocity_w__x__L1_4h_body,FLAT_CHOPPY,18303,0.4490293860283371,4.899284302302529,17.006770680011776,0,0
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,UP_SMOOTH,7146,0.46880416888878357,6.577255761511603,26.169181034482758,1,0
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,UP_CHOPPY,3924,0.516291162567222,4.902970611610089,29.553571428571427,0,2
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,DOWN_SMOOTH,4662,0.5850016914133831,4.582913269476187,-44.57824074074074,1,0
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,DOWN_CHOPPY,2988,0.4398003517524305,10.692909773091337,-31.286057692307693,0,1
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,FLAT_SMOOTH,9738,0.6095019533609479,5.056475868622234,-13.679584120982987,2,0
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,FLAT_CHOPPY,18303,0.4736885816743441,5.01338495917565,17.28397341211226,0,0
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,UP_SMOOTH,6978,-0.09348741239911477,7.361705010411293,36.13380281690141,2,0
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,UP_CHOPPY,3924,-0.17568339848569295,8.169919812435314,33.305316091954026,0,0
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,DOWN_SMOOTH,4482,0.5669286660795848,6.946025450216371,-43.876953125,1,0
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,DOWN_CHOPPY,2988,0.3392703886841256,7.053425309914216,-31.855,0,1
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,FLAT_SMOOTH,9402,0.1822535308030686,2.917417406845458,11.809821428571428,0,2
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,FLAT_CHOPPY,18027,0.15904435627272248,4.560599192038029,-16.665436241610738,1,0
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,UP_SMOOTH,6978,0.4001484569792261,38.810973027907224,135.13541666666666,2,0
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,UP_CHOPPY,3924,0.5962924061097701,5.081875003242726,19.655701754385966,0,0
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,DOWN_SMOOTH,4662,0.5304871651390528,8.098349356409573,-45.06157407407407,1,2
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,DOWN_CHOPPY,2988,0.4893168952598789,6.921857389302453,-38.49198717948718,0,2
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,FLAT_SMOOTH,9402,0.557142469949498,1.7587896201476547,8.750968992248062,0,0
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1h_price_velocity_w__x__L3_4h_z_high_w,FLAT_CHOPPY,18123,0.4241034641458991,2.416811690309221,12.922229869236064,0,0
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,UP_SMOOTH,6978,0.5242960265986701,5.666677959393687,45.079666160849776,2,0
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,UP_CHOPPY,3924,-0.003705705181133462,4.551663504851049,28.387037037037036,0,0
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,DOWN_SMOOTH,4662,0.7303855679179018,8.069144264868186,-53.15257352941177,1,0
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,DOWN_CHOPPY,2988,0.4553482052063695,7.424247230254746,-23.6328125,1,2
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,FLAT_SMOOTH,9402,0.4155439895145699,4.254561971995414,16.260416666666668,0,2
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,FLAT_CHOPPY,18075,0.277754562495838,3.5120334697987454,-11.607629041406692,2,1
L2_1h_price_velocity_w,L2_15m_price_velocity_w,L2_1h_price_velocity_w__x__L2_15m_price_velocity_w,UP_SMOOTH,7146,0.35964667494186636,4.129994593678122,32.924940898345156,1,2
L2_1h_price_velocity_w,L2_15m_price_velocity_w,L2_1h_price_velocity_w__x__L2_15m_price_velocity_w,UP_CHOPPY,3924,0.27076188943624446,3.2040676913989192,22.810606060606062,0,0
