pair,n_regimes,min_corr_xy,max_corr_xy,corr_xy_range,sign_flip,n_pos_regimes,n_neg_regimes
L2_1h_price_velocity_w__x__L1_1D_bar_range,6,-0.47674812664626803,0.6624898174559746,1.1392379441022427,True,3,3
L2_1D_price_velocity_w__x__L2_1D_vol_sigma_w,6,-0.812259149318615,0.17950284095784325,0.9917619902764583,True,2,4
L2_1h_price_velocity_w__x__L2_1D_vol_sigma_w,6,-0.42824752410750694,0.4369653818867188,0.8652129059942257,True,2,4
L2_4h_price_velocity_w__x__L2_1D_vol_sigma_w,6,-0.7245627204814495,0.12274647969766797,0.8473092001791175,True,2,4
L2_4h_price_velocity_w__x__L1_1D_bar_range,6,-0.5394753730760269,0.27549982386489,0.8149751969409169,True,2,4
L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,6,-0.17568339848569295,0.5669286660795848,0.7426120645652777,True,4,2
L2_1D_price_velocity_w__x__L1_1D_bar_range,6,-0.6099498312044029,0.12915052105636043,0.7391003522607633,True,1,5
L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,6,-0.003705705181133462,0.7303855679179018,0.7340912730990352,True,5,1
L1_4h_price_velocity_1b__x__L2_4h_price_velocity_w,6,-0.24912682550508836,0.4369928248804935,0.6861196503855819,True,5,1
L1_4h_price_velocity_1b__x__L2_1D_price_velocity_w,6,-0.3479131955754462,0.2934994825029228,0.641412678078369,True,4,2
L1_4h_body__x__L2_4h_price_velocity_w,6,-0.24774739103609467,0.3672014928647237,0.6149488839008184,True,5,1
L1_4h_body__x__L2_1D_price_velocity_w,6,-0.347106135365093,0.23048190947570568,0.5775880448407986,True,4,2
L3_4h_z_high_w__x__L1_1D_bar_range,6,-0.32485943688663127,0.24118560966485905,0.5660450465514903,True,4,2
L1_4h_body__x__L2_1D_vol_sigma_w,6,-0.24317725849455718,0.3179710402756625,0.5611482987702197,True,2,4
L1_4h_price_velocity_1b__x__L2_1D_vol_sigma_w,6,-0.23831987802909904,0.3186345641836772,0.5569544422127762,True,2,4
L1_4h_price_velocity_1b__x__L3_4h_z_low_w,6,-0.02463450262442322,0.5305426586581748,0.5551771612825981,True,5,1
L1_4h_body__x__L3_4h_z_low_w,6,-0.0358603202155192,0.5133139278863249,0.5491742481018441,True,5,1
L2_4h_price_velocity_w__x__L2_15m_price_velocity_w,6,-0.2816298791466953,0.2664733070607617,0.548103186207457,True,4,2
L2_1D_price_velocity_w__x__L2_15m_price_velocity_w,6,-0.321086310064236,0.22460674154817628,0.5456930516124123,True,4,2
L3_4h_z_high_w__x__L2_1D_vol_sigma_w,6,-0.3945698064623155,0.1419198289394459,0.5364896354017614,True,4,2
L2_1D_vol_sigma_w__x__L2_4h_price_accel_w,6,-0.20097032535162795,0.3309299868457787,0.5319003121974066,True,3,3
L3_4h_z_low_w__x__L1_1D_bar_range,6,-0.26263553777988397,0.2604444165794448,0.5230799543593287,True,4,2
L2_4h_price_velocity_w__x__L2_4h_price_accel_w,6,-0.13446255731980708,0.36201728986514725,0.4964798471849543,True,5,1
L2_1D_price_velocity_w__x__L2_4h_price_accel_w,6,-0.3232823138917987,0.1653555412335215,0.4886378551253202,True,2,4
L2_1D_vol_sigma_w__x__L3_4h_z_low_w,6,-0.3187337243904181,0.15702650814244848,0.4757602325328666,True,2,4
L2_4h_price_accel_w__x__L1_1D_bar_range,6,-0.12172192444836152,0.3467357941761187,0.46845771862448027,True,4,2
L2_1D_vol_sigma_w__x__L1_1D_bar_range,6,0.2709180163232688,0.7304481660898666,0.45953014976659784,False,6,0
L3_4h_z_se_w__x__L2_1D_vol_sigma_w,6,-0.27224361836109084,0.1871883273676174,0.45943194572870827,True,4,2
L3_4h_z_low_w__x__L2_4h_price_accel_w,6,-0.02222955487177252,0.4341527104208576,0.45638226529263015,True,5,1
L3_4h_z_se_w__x__L1_1D_bar_range,6,-0.20629597702143912,0.20203610416393306,0.4083320811853722,True,4,2
L2_15m_price_velocity_w__x__L2_1D_vol_sigma_w,6,-0.17803085403760788,0.22331249798859823,0.4013433520262061,True,2,4
L1_4h_body__x__L2_4h_price_accel_w,6,0.43395601253417476,0.8298945369656767,0.39593852443150196,False,6,0
L2_1D_price_velocity_w__x__L3_4h_z_low_w,6,-0.19729256696403163,0.16761196052595878,0.3649045274899904,True,1,5
L2_4h_price_velocity_w__x__L3_4h_z_low_w,6,-0.028500673833097782,0.32225852734169025,0.35075920117478804,True,3,3
L2_15m_price_velocity_w__x__L1_1D_bar_range,6,-0.14447368827981447,0.18545310326424264,0.32992679154405713,True,3,3
L2_15m_price_velocity_w__x__L3_4h_z_low_w,6,-0.14940231617410255,0.1794001743291869,0.32880249050328947,True,3,3
L1_4h_body__x__L1_4h_price_velocity_1b,6,0.6732583780058863,0.9999899482210178,0.32673157021513155,False,6,0
L2_1h_price_velocity_w__x__L3_4h_z_low_w,6,0.3234007710815536,0.643416179356283,0.32001540827472946,False,6,0
L1_4h_body__x__L1_1D_bar_range,6,-0.14665984368679513,0.1698254385849703,0.3164852822717654,True,3,3
L1_4h_body__x__L3_4h_z_high_w,6,0.04356151690939138,0.35388014082317715,0.3103186239137858,False,6,0
L1_4h_price_velocity_1b__x__L3_4h_z_high_w,6,0.043098279810050245,0.35336921397036125,0.310270934160311,False,6,0
L1_4h_price_velocity_1b__x__L1_1D_bar_range,6,-0.1459139995598052,0.1609580313669229,0.3068720309267281,True,3,3
L2_1D_price_velocity_w__x__L3_4h_z_high_w,6,-0.15229791330616485,0.14254631746108187,0.29484423076724675,True,1,5
L2_1D_price_velocity_w__x__L2_4h_price_velocity_w,6,0.6142220548928975,0.8996157177952995,0.285393662902402,False,6,0
L3_4h_z_high_w__x__L2_4h_price_accel_w,6,-0.02917116868424676,0.24842715364541684,0.2775983223296636,True,5,1
L3_4h_z_se_w__x__L2_4h_price_velocity_w,6,-0.008904588800119705,0.2675466979920482,0.2764512867921679,True,5,1
L3_4h_z_se_w__x__L2_1D_price_velocity_w,6,-0.183658397495768,0.09059340502147264,0.2742518025172407,True,1,5
L3_4h_z_se_w__x__L2_4h_price_accel_w,6,0.21595190585060056,0.48819156696204946,0.2722396611114489,False,6,0
L3_4h_z_high_w__x__L2_4h_price_velocity_w,6,-0.009520077011532305,0.2585144727261742,0.2680345497377065,True,5,1
L2_1h_price_velocity_w__x__L2_4h_price_accel_w,6,0.2774011005323527,0.5400128100476416,0.2626117095152889,False,6,0
L1_4h_price_velocity_1b__x__L2_4h_price_accel_w,6,0.5801755435657655,0.8370445191980104,0.25686897563224487,False,6,0
L2_15m_price_velocity_w__x__L2_4h_price_accel_w,6,0.13447061007423322,0.36862211347368895,0.23415150339945573,False,6,0
L2_1h_price_velocity_w__x__L3_4h_z_se_w,6,0.4038251171404902,0.6319807000595165,0.22815558291902627,False,6,0
L3_4h_z_se_w__x__L3_4h_z_low_w,6,0.7476195946359475,0.9570569496529753,0.20943735501702776,False,6,0
L3_4h_z_se_w__x__L1_4h_body,6,0.37949710844359436,0.5889301531739504,0.209433044730356,False,6,0
L3_4h_z_se_w__x__L3_4h_z_high_w,6,0.7577311535160844,0.9624574481992143,0.20472629468312986,False,6,0
L3_4h_z_se_w__x__L1_4h_price_velocity_1b,6,0.3872897646085192,0.5871669261947268,0.19987716158620755,False,6,0
L2_1h_price_velocity_w__x__L3_4h_z_high_w,6,0.4001484569792261,0.5962924061097701,0.196143949130544,False,6,0
L2_1h_price_velocity_w__x__L2_15m_price_velocity_w,6,0.27076188943624446,0.460150612907154,0.18938872347090951,False,6,0
L2_1h_price_velocity_w__x__L1_4h_body,6,0.3441212711944724,0.531865407272473,0.1877441360780006,False,6,0
L1_4h_price_velocity_1b__x__L2_15m_price_velocity_w,6,0.22319455725898402,0.41055027190299764,0.18735571464401363,False,6,0
L3_4h_z_high_w__x__L2_15m_price_velocity_w,6,-0.07835283775383417,0.09660046648162358,0.17495330423545774,True,3,3
L3_4h_z_high_w__x__L3_4h_z_low_w,6,0.6777595037380576,0.8513469307750853,0.17358742703702768,False,6,0
L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,6,0.4398003517524305,0.6095019533609479,0.16970160160851744,False,6,0
L3_4h_z_se_w__x__L2_15m_price_velocity_w,6,0.035340091290813905,0.19113838637467745,0.15579829508386356,False,6,0
L1_4h_body__x__L2_15m_price_velocity_w,6,0.2537658319665599,0.40699233876359114,0.15322650679703126,False,6,0
