feature,side,n_is,n_oos,P_up_IS,CI_IS_lo,CI_IS_hi,P_up_OOS,sign_match,mean_fwd_IS,mean_fwd_OOS,mean_abs_z,med_dur_min,IS_edge
L2_1h_price_velocity_12,below_-3sigma,81,16,0.4217,0.3182,0.5288,0.3333,1,-5.83,-31.86,4.34,59.92,0.07829999999999998
L2_15m_price_velocity_12,below_-3sigma,412,109,0.57,0.5221,0.6173,0.5405,1,0.77,-7.95,4.33,14.92,0.06999999999999995
L2_1h_vol_sigma_12,below_-3sigma,120,30,0.5574,0.4689,0.6441,0.4688,0,3.47,-7.44,5.7,59.92,0.05740000000000001
L2_1h_price_velocity_12,above_+3sigma,68,20,0.4429,0.3292,0.5596,0.5455,0,-0.2,-16.55,4.05,59.92,0.057099999999999984
L3_15m_swing_noise_12,below_-3sigma,106,29,0.5556,0.4615,0.6477,0.4839,0,-2.7,-1.05,4.88,14.92,0.05559999999999998
L2_15m_vol_sigma_12,below_-3sigma,423,95,0.5529,0.5055,0.5999,0.6392,1,3.03,6.82,6.08,14.92,0.05289999999999995
L2_15m_vol_velocity_12,below_-3sigma,357,83,0.5515,0.4999,0.6026,0.5176,1,3.46,1.47,4.1,14.92,0.05149999999999999
L1_5m_vol_velocity_1b,below_-3sigma,397,83,0.5489,0.4999,0.5974,0.3882,0,1.77,-6.2,3.65,4.92,0.048900000000000055
L2_1h_vol_velocity_12,above_+3sigma,124,32,0.5476,0.4605,0.6333,0.5294,1,5.56,-1.5,4.26,59.92,0.047599999999999976
L1_5m_body,above_+3sigma,886,213,0.5282,0.4953,0.5609,0.5163,1,6.92,1.49,4.35,4.92,0.028200000000000003
L2_15m_price_velocity_12,above_+3sigma,356,82,0.5279,0.4762,0.5794,0.4167,0,3.39,1.76,4.15,14.92,0.027900000000000036
L3_15m_hurst_12,below_-3sigma,239,52,0.527,0.4639,0.5896,0.5,0,5.52,-6.24,3.97,14.92,0.027000000000000024
L2_15m_vol_sigma_12,above_+3sigma,585,138,0.5264,0.486,0.5667,0.5429,1,2.31,1.9,15.68,29.92,0.02639999999999998
L2_1h_vol_sigma_12,above_+3sigma,36,12,0.5263,0.3692,0.6808,0.5,0,-3.24,2.96,9.75,59.92,0.02629999999999999
L2_15m_vol_velocity_12,above_+3sigma,628,148,0.5238,0.4848,0.5627,0.5333,1,2.03,0.33,9.23,14.92,0.023800000000000043
L2_5m_vol_sigma_9,below_-3sigma,2570,610,0.5237,0.5044,0.543,0.5327,1,0.28,1.27,7.72,4.92,0.023700000000000054
L1_5m_bar_range,above_+3sigma,2380,539,0.5227,0.5026,0.5427,0.5028,1,1.81,-0.37,5.9,4.92,0.022700000000000053
L1_5m_body,below_-3sigma,1004,207,0.5209,0.49,0.5517,0.4976,0,-0.59,-9.54,4.42,4.92,0.02090000000000003
L3_15m_hurst_12,above_+3sigma,415,100,0.4796,0.4318,0.5276,0.4902,1,5.45,0.17,4.16,14.92,0.020399999999999974
L1_5m_vol_velocity_1b,above_+3sigma,2008,472,0.5184,0.4966,0.5402,0.5148,1,0.24,0.54,6.53,4.92,0.018399999999999972
L2_5m_vol_velocity_9,above_+3sigma,1709,418,0.5172,0.4936,0.5409,0.5143,1,1.24,0.1,6.41,4.92,0.017199999999999993
L3_15m_swing_noise_12,above_+3sigma,266,62,0.5112,0.4514,0.5708,0.4531,0,-5.24,-16.69,4.64,14.92,0.011199999999999988
L2_5m_vol_sigma_9,above_+3sigma,1952,470,0.5092,0.487,0.5314,0.5169,1,1.27,-0.22,11.67,4.92,0.009199999999999986
L2_5m_vol_velocity_9,below_-3sigma,1282,305,0.507,0.4797,0.5343,0.5342,1,-0.85,2.05,4.15,4.92,0.007000000000000006
L1_5m_bar_range,below_-3sigma,77,23,0.4937,0.3846,0.6031,0.52,0,7.32,14.29,3.52,4.92,0.006299999999999972
