**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_q,y_q,z_q,n,dominant_regime,dominant_pct,entropy,mean_fwd,std_fwd,win_rate,pct_UP_SMOOTH,pct_UP_CHOPPY,pct_DOWN_SMOOTH,pct_DOWN_CHOPPY,pct_FLAT_SMOOTH,pct_FLAT_CHOPPY
0,0,0,7135,FLAT_CHOPPY,0.4306937631394534,2.1180883177581005,2.8373510861948144,81.34766982975309,0.5446391030133146,0.053819201121233354,0.030273300630693764,0.2598458304134548,0.11268395234758234,0.11268395234758234,0.4306937631394534
0,0,1,4702,FLAT_SMOOTH,0.33198638877073583,2.202854878111468,4.096926839642705,62.52202443352835,0.5389196086771586,0.0867715865589111,0.04615057422373458,0.15525308379413016,0.05104210974053594,0.33198638877073583,0.32879625691195236
0,0,2,3254,FLAT_CHOPPY,0.42470805162876457,2.2925358831436626,-4.574754148740012,54.03223413020165,0.4864781807006761,0.10694529809465274,0.11063306699446834,0.09956976029502151,0.08481868469575907,0.17332513829133375,0.42470805162876457
0,1,0,84,FLAT_SMOOTH,0.5714285714285714,0.9852281360342515,2.4851190476190474,27.499297668755354,0.6190476190476191,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0
0,1,2,96,FLAT_SMOOTH,0.5,1.0,-1.2916666666666667,22.381873148019473,0.4791666666666667,0.0,0.0,0.5,0.0,0.5,0.0
1,0,0,96,FLAT_SMOOTH,0.875,0.5435644431995964,10.825520833333334,30.73888587748481,0.6145833333333334,0.0,0.0,0.0,0.0,0.875,0.125
1,0,1,145,FLAT_SMOOTH,0.6620689655172414,0.9228250732502711,-9.132758620689655,30.252310735498614,0.4827586206896552,0.0,0.0,0.33793103448275863,0.0,0.6620689655172414,0.0
1,1,0,3589,FLAT_CHOPPY,0.4212872666480914,2.1691459498002965,0.8573418779604347,48.780466951187506,0.539704653106715,0.08358874338255781,0.05684034550013931,0.06687099470604625,0.10392867093898021,0.267483978824185,0.4212872666480914
1,1,1,5280,FLAT_CHOPPY,0.4498106060606061,2.1582060589360013,-0.37391098484848484,56.4763731094187,0.5490530303030303,0.175,0.0659090909090909,0.08200757575757575,0.04318181818181818,0.18409090909090908,0.4498106060606061
1,1,2,6276,FLAT_CHOPPY,0.367112810707457,2.2698851877481396,-2.5294375398342894,48.72218074184854,0.48868706182281707,0.18562778840025493,0.1050031867431485,0.05927342256214149,0.0497131931166348,0.2332695984703633,0.367112810707457
1,2,0,96,FLAT_SMOOTH,1.0,-0.0,-7.541666666666667,24.329607982074094,0.4479166666666667,0.0,0.0,0.0,0.0,1.0,0.0
1,2,2,96,UP_SMOOTH,0.5,1.4056390622295665,-2.03125,12.040187640608124,0.4479166666666667,0.5,0.0,0.0,0.0,0.375,0.125
2,1,1,96,FLAT_CHOPPY,1.0,-0.0,-22.330729166666668,47.056789526224065,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,1.0
2,1,2,84,UP_SMOOTH,0.5714285714285714,0.9852281360342515,1.9464285714285714,13.056646245786382,0.5476190476190477,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0
2,2,0,4296,FLAT_CHOPPY,0.42202048417132215,2.2674816851676414,1.461941340782123,57.027690774857255,0.5146648044692738,0.16201117318435754,0.12290502793296089,0.05027932960893855,0.09194599627560521,0.15083798882681565,0.42202048417132215
2,2,1,5090,FLAT_CHOPPY,0.45540275049115914,1.920140876349695,4.583497053045186,82.7893787380001,0.5027504911591356,0.19823182711198428,0.09194499017681729,0.016502946954813358,0.004715127701375246,0.2332023575638507,0.45540275049115914
2,2,2,5566,FLAT_CHOPPY,0.3018325547969817,2.2984899997939534,-0.8562702120014373,94.27843196756234,0.5107797340998922,0.29608336327703916,0.1595400646784046,0.04743083003952569,0.05389867049946101,0.14121451670858787,0.3018325547969817
