x_q,y_q,z_q,n,dominant_regime,dominant_pct,entropy,mean_fwd,std_fwd,win_rate,pct_UP_SMOOTH,pct_UP_CHOPPY,pct_DOWN_SMOOTH,pct_DOWN_CHOPPY,pct_FLAT_SMOOTH,pct_FLAT_CHOPPY
0,0,0,1697,FLAT_CHOPPY,0.4030642309958751,1.9851388880146865,1.4771655863288156,56.263244916880936,0.5586328815556865,0.02121390689451974,0.049499116087212726,0.32822628167354156,0.03535651149086624,0.1626399528579847,0.4030642309958751
0,0,1,2138,FLAT_CHOPPY,0.4223573433115061,2.1711286243754606,3.8212114125350793,55.13032628045685,0.5252572497661365,0.03882132834424696,0.0617399438727783,0.24134705332086062,0.1403180542563143,0.09541627689429373,0.4223573433115061
0,0,2,4343,FLAT_CHOPPY,0.4418604651162791,2.0587406565656967,-6.206136311305549,103.23716300324182,0.49458899378309923,0.024867603039373704,0.02210453603499885,0.22933456136311306,0.14091641722311765,0.14091641722311765,0.4418604651162791
0,1,0,2401,FLAT_CHOPPY,0.48063306955435237,1.9589899340382584,-0.44012911286963763,45.53686158423367,0.5135360266555602,0.024989587671803416,0.029987505206164097,0.19450229071220324,0.054977092877967516,0.21491045397750938,0.48063306955435237
0,1,1,1627,FLAT_CHOPPY,0.5279655808236017,2.0010561480440336,3.0394898586355255,38.11668738871038,0.5421020282728949,0.07375537799631224,0.02950215119852489,0.16963736939151813,0.07375537799631224,0.1253841425937308,0.5279655808236017
0,1,2,756,FLAT_CHOPPY,0.5066137566137566,1.7568086266157157,0.8177910052910053,80.46282172376036,0.5634920634920635,0.03306878306878307,0.0,0.06349206349206349,0.30158730158730157,0.09523809523809523,0.5066137566137566
0,2,0,588,FLAT_CHOPPY,0.5102040816326531,1.7330339037029163,-1.3222789115646258,42.969563594236625,0.5153061224489796,0.02040816326530612,0.0,0.16326530612244897,0.04081632653061224,0.2653061224489796,0.5102040816326531
0,2,1,576,FLAT_CHOPPY,0.4166666666666667,2.0070139422512874,17.532552083333332,62.27362240318668,0.6458333333333334,0.16666666666666666,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.2916666666666667,0.4166666666666667
0,2,2,1308,FLAT_CHOPPY,0.30275229357798167,2.159543407908446,-0.7689220183486238,82.92483746188235,0.5061162079510704,0.06422018348623854,0.0,0.13761467889908258,0.21100917431192662,0.28440366972477066,0.30275229357798167
1,0,0,1057,FLAT_SMOOTH,0.4881740775780511,1.6731272550938745,-6.501892147587512,54.611166390422824,0.45411542100283825,0.046357615894039736,0.0,0.1816461684011353,0.0,0.4881740775780511,0.28382213812677387
1,0,1,1026,FLAT_CHOPPY,0.34990253411306044,2.390897389811418,-7.277534113060429,73.3159253632162,0.47953216374269003,0.16471734892787523,0.1286549707602339,0.05847953216374269,0.17543859649122806,0.12280701754385964,0.34990253411306044
1,0,2,1346,FLAT_CHOPPY,0.563150074294205,1.9197714410830102,3.125,86.88736579907264,0.5267459138187222,0.16939078751857356,0.08915304606240713,0.03566121842496285,0.05349182763744428,0.08915304606240713,0.563150074294205
1,1,0,3635,FLAT_CHOPPY,0.4154057771664374,2.026365295408965,0.9994497936726272,39.88349114213903,0.5595598349381018,0.09876203576341128,0.0891334250343879,0.05667125171939477,0.016506189821182942,0.32352132049518567,0.4154057771664374
1,1,1,1924,FLAT_CHOPPY,0.501039501039501,2.0436983924772374,4.772998960498961,45.757666722162234,0.5571725571725572,0.1496881496881497,0.16216216216216217,0.08108108108108109,0.018711018711018712,0.08731808731808732,0.501039501039501
1,1,2,636,FLAT_CHOPPY,0.33962264150943394,2.252752221158488,0.2794811320754717,58.57779516324462,0.5062893081761006,0.24528301886792453,0.03773584905660377,0.07547169811320754,0.07547169811320754,0.22641509433962265,0.33962264150943394
1,2,0,2004,FLAT_CHOPPY,0.49101796407185627,1.767442472396742,-0.5698602794411177,34.5293978488871,0.5074850299401198,0.07784431137724551,0.029940119760479042,0.017964071856287425,0.041916167664670656,0.3413173652694611,0.49101796407185627
1,2,1,2581,FLAT_CHOPPY,0.33514141805501746,2.2148936656990887,-0.10693529639674544,37.676457502597515,0.5133669120495932,0.20457187136768695,0.08833785354513754,0.03254552499031383,0.05579232855482371,0.2836110034870205,0.33514141805501746
1,2,2,1260,FLAT_SMOOTH,0.5619047619047619,1.788246864138819,2.7244047619047618,71.31591324085349,0.5380952380952381,0.047619047619047616,0.0,0.0761904761904762,0.12380952380952381,0.5619047619047619,0.19047619047619047
2,0,0,281,FLAT_CHOPPY,0.597864768683274,1.623958580333749,45.736654804270465,226.26370430046816,0.5729537366548043,0.2313167259786477,0.08540925266903915,0.042704626334519574,0.0,0.042704626334519574,0.597864768683274
2,0,1,1068,UP_SMOOTH,0.3595505617977528,2.095424747640496,8.230805243445692,43.250489392786626,0.552434456928839,0.3595505617977528,0.21348314606741572,0.0449438202247191,0.033707865168539325,0.0449438202247191,0.30337078651685395
2,0,2,2375,FLAT_CHOPPY,0.4391578947368421,2.0862500466654574,9.902631578947368,129.16807828480555,0.5183157894736842,0.24757894736842107,0.13642105263157894,0.06568421052631579,0.015157894736842105,0.096,0.4391578947368421
2,1,0,1835,FLAT_CHOPPY,0.3782016348773842,2.2166181439022963,-2.7634877384196184,41.055071989094145,0.4948228882833787,0.1901907356948229,0.1896457765667575,0.026158038147138966,0.04577656675749319,0.17002724795640328,0.3782016348773842
2,1,1,1427,FLAT_CHOPPY,0.40294323756131745,1.9491004245607404,-2.5798878766643307,39.44907699635059,0.4954449894884373,0.17659425367904696,0.2859145059565522,0.016818500350385426,0.0,0.11772950245269796,0.40294323756131745
2,1,2,1080,FLAT_CHOPPY,0.43425925925925923,1.8429872118039712,0.3106481481481482,95.01177444005901,0.5083333333333333,0.38796296296296295,0.05555555555555555,0.03333333333333333,0.05555555555555555,0.03333333333333333,0.43425925925925923
2,2,0,1717,FLAT_CHOPPY,0.3360512521840419,2.0612520230483247,-2.384391380314502,23.47738337468191,0.47699475829935933,0.26557949912638323,0.0978450786255096,0.041933605125218404,0.0,0.2585905649388468,0.3360512521840419
2,2,1,2943,UP_SMOOTH,0.30173292558613657,2.1356894263655235,2.9401970778117565,42.30460431348132,0.5246347264695889,0.30173292558613657,0.24464831804281345,0.040774719673802244,0.0,0.1671763506625892,0.24566768603465852
2,2,2,2400,UP_SMOOTH,0.4,1.92172426829194,-4.64125,65.0439136979752,0.5004166666666666,0.4,0.0,0.015,0.095,0.295,0.195
