x_q,y_q,z_q,n,dominant_regime,dominant_pct,entropy,mean_fwd,std_fwd,win_rate,pct_UP_SMOOTH,pct_UP_CHOPPY,pct_DOWN_SMOOTH,pct_DOWN_CHOPPY,pct_FLAT_SMOOTH,pct_FLAT_CHOPPY
0,0,0,4612,FLAT_CHOPPY,0.4757155247181266,1.9583604939587262,-0.9886166522116219,46.65076812485935,0.52601908065915,0.026019080659150044,0.05225498699045967,0.22224631396357328,0.028620988725065046,0.19514310494362533,0.4757155247181266
0,0,1,4239,FLAT_CHOPPY,0.3602264685067233,2.3809030017394264,5.720276008492569,51.847205602895755,0.5388063222458127,0.11606510969568294,0.10191082802547771,0.1866006133522057,0.07360226468506724,0.16159471573484313,0.3602264685067233
0,0,2,6240,FLAT_CHOPPY,0.36538461538461536,2.2566041705696676,0.790584935897436,92.7853381461436,0.527724358974359,0.08461538461538462,0.019230769230769232,0.175,0.14038461538461539,0.2153846153846154,0.36538461538461536
0,1,1,132,FLAT_SMOOTH,0.36363636363636365,1.5726236638951638,0.26515151515151514,24.47850664895895,0.5606060606060606,0.0,0.0,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0
1,0,0,96,FLAT_SMOOTH,0.875,0.5435644431995964,10.825520833333334,30.73888587748481,0.6145833333333334,0.0,0.0,0.0,0.0,0.875,0.125
1,0,1,97,DOWN_SMOOTH,0.5051546391752577,0.9999233329473267,-0.015463917525773196,19.610259008393758,0.5360824742268041,0.0,0.0,0.5051546391752577,0.0,0.4948453608247423,0.0
1,1,0,6626,FLAT_SMOOTH,0.34953214609115607,2.203973958738157,0.10753093872623,41.81803101977353,0.528222155146393,0.15424086930274675,0.07047992755810444,0.0798370057349834,0.03622094778146695,0.34953214609115607,0.3096891035315424
1,1,1,5542,FLAT_CHOPPY,0.478347167087694,2.1449358150589757,0.03491519307109347,43.07447811460658,0.5279682425117286,0.15138939011187297,0.11909058101768315,0.04330566582461205,0.06928906531937928,0.13857813063875857,0.478347167087694
1,1,2,2977,FLAT_CHOPPY,0.4998320456835741,2.07366606785647,-5.2663755458515285,78.55823535527294,0.49613705072220354,0.17735975814578434,0.0282163251595566,0.09271078266711455,0.09707759489418878,0.10480349344978165,0.4998320456835741
1,2,0,144,FLAT_SMOOTH,0.5833333333333334,1.2806721295208872,-2.8211805555555554,17.919830773759518,0.4722222222222222,0.3333333333333333,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333
2,1,1,96,FLAT_CHOPPY,1.0,-0.0,-22.330729166666668,47.056789526224065,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,1.0
2,2,0,3653,FLAT_CHOPPY,0.575143717492472,1.7956490699272394,1.1433753079660554,73.9204665598038,0.49931563098822884,0.08650424308787298,0.10183410895154667,0.02299479879551054,0.019709827539009035,0.19381330413358883,0.575143717492472
2,2,1,5156,FLAT_CHOPPY,0.2982932505818464,2.202968849603577,3.219065166795966,48.10073554146841,0.5279286268425136,0.2864623739332816,0.2187742435996897,0.0395655546935609,0.018619084561675717,0.1382854926299457,0.2982932505818464
2,2,2,6143,FLAT_CHOPPY,0.3535731727169136,2.255872796577639,0.6625834282923653,104.04501388772836,0.49926745889630475,0.2539475826143578,0.06251017418199577,0.04492918769330946,0.08969558847468663,0.19534429431873676,0.3535731727169136
