**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_q,y_q,z_q,n,dominant_regime,dominant_pct,entropy,mean_fwd,std_fwd,win_rate,pct_UP_SMOOTH,pct_UP_CHOPPY,pct_DOWN_SMOOTH,pct_DOWN_CHOPPY,pct_FLAT_SMOOTH,pct_FLAT_CHOPPY
0,0,0,9015,FLAT_CHOPPY,0.40732113144758736,2.0580063798854136,1.0386300610094288,80.30427266042295,0.5262340543538547,0.030615640599001664,0.011980033277870216,0.26788685524126454,0.11580698835274543,0.16638935108153077,0.40732113144758736
0,0,1,84,FLAT_SMOOTH,0.5714285714285714,0.9852281360342515,2.4851190476190474,27.499297668755354,0.6190476190476191,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0
0,1,0,157,FLAT_SMOOTH,0.6878980891719745,1.1462311006713748,-5.611464968152866,37.49768577158764,0.445859872611465,0.0,0.0,0.2356687898089172,0.0,0.6878980891719745,0.07643312101910828
0,1,1,3540,FLAT_CHOPPY,0.46779661016949153,2.1638370547206067,-1.4897598870056497,62.851812460383464,0.5451977401129944,0.06440677966101695,0.05423728813559322,0.10847457627118644,0.12542372881355932,0.17966101694915254,0.46779661016949153
0,2,2,2674,FLAT_CHOPPY,0.5557217651458489,1.9672341744565536,-1.0682498130142108,63.46048704049478,0.5086013462976814,0.04487658937920718,0.05385190725504862,0.11219147344801796,0.08975317875841436,0.14360508601346297,0.5557217651458489
1,0,0,4192,FLAT_CHOPPY,0.3926526717557252,2.1930802936669016,1.8650405534351144,51.44741707549277,0.5395992366412213,0.08874045801526717,0.09470419847328244,0.08039122137404581,0.05152671755725191,0.2919847328244275,0.3926526717557252
1,1,0,84,FLAT_SMOOTH,0.8571428571428571,0.5916727785823275,7.095238095238095,14.046711271076555,0.7023809523809523,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0
1,1,1,7009,FLAT_CHOPPY,0.4006277643030389,2.182231092215028,-1.0856398915679841,51.01292655892822,0.5300328149522043,0.1542302753602511,0.054644029105435865,0.07547439006991012,0.051362533885004995,0.263661007276359,0.4006277643030389
1,2,1,108,FLAT_CHOPPY,0.7777777777777778,0.7642045065086203,-18.85185185185185,45.28652340538045,0.3888888888888889,0.0,0.2222222222222222,0.0,0.0,0.0,0.7777777777777778
1,2,2,4148,FLAT_CHOPPY,0.41128254580520734,2.053513544286221,1.068466730954677,60.041670142260415,0.5033751205400193,0.13886210221793635,0.09546769527483125,0.011571841851494697,0.04918032786885246,0.2936354869816779,0.41128254580520734
2,0,0,2064,FLAT_CHOPPY,0.3483527131782946,2.2831146350626255,3.508963178294574,58.60767104462056,0.5339147286821705,0.23837209302325582,0.13953488372093023,0.0755813953488372,0.029069767441860465,0.1690891472868217,0.3483527131782946
2,0,1,96,FLAT_SMOOTH,0.5,1.0,-1.2916666666666667,22.381873148019473,0.4791666666666667,0.0,0.0,0.5,0.0,0.5,0.0
2,1,1,4740,FLAT_CHOPPY,0.3643459915611814,2.1540756132474264,0.262710970464135,42.13500104766052,0.4976793248945148,0.2481012658227848,0.1341772151898734,0.027848101265822784,0.0229957805907173,0.20253164556962025,0.3643459915611814
2,1,2,96,UP_SMOOTH,0.5,1.4056390622295665,-2.03125,12.040187640608124,0.4479166666666667,0.5,0.0,0.0,0.0,0.375,0.125
2,2,1,60,UP_SMOOTH,0.8,0.7219280948873623,1.9208333333333334,11.051832011897803,0.5,0.8,0.2,0.0,0.0,0.0,0.0
2,2,2,8490,FLAT_CHOPPY,0.3254416961130742,2.1622429695204164,2.8265017667844523,93.11755630531034,0.5135453474676089,0.3214369846878681,0.15830388692579506,0.025441696113074206,0.032391048292108364,0.1369846878680801,0.3254416961130742
