feature,split,day,side,start_ts,duration_min,max_abs_z,signed_max_z,fwd_ret,fwd_mfe,fwd_mae,tod_hour,dow
L2_5s_price_sigma_9,IS,2025_03_04,above_+3sigma,1741125595,60.17,7.5845077152548095,7.5845077152548095,16.25,16.25,0.0,21,Tue
L2_5s_price_sigma_9,IS,2025_03_20,above_+3sigma,1742510945,1.08,5.217520374033458,5.217520374033458,-19.25,0.0,-45.25,22,Thu
L2_5s_price_sigma_9,IS,2025_03_21,above_+3sigma,1742532015,1.33,5.385957511873555,5.385957511873555,-38.0,0.0,-38.75,4,Fri
L2_5s_price_sigma_9,IS,2025_03_21,above_+3sigma,1742535560,2.08,6.059725062999734,6.059725062999734,27.0,31.75,-14.25,5,Fri
L2_5s_price_sigma_9,IS,2025_03_21,above_+3sigma,1742551405,1.0,4.265756896315436,4.265756896315436,-2.25,32.0,-42.75,10,Fri
L2_5s_price_sigma_9,IS,2025_04_15,above_+3sigma,1744750795,60.33,198.17673033216843,198.17673033216843,-221.25,0.0,-221.25,20,Tue
L2_5s_price_sigma_9,IS,2025_06_18,above_+3sigma,1750224100,1.33,4.630574714496556,4.630574714496556,19.5,27.75,-6.5,5,Wed
L2_5s_price_sigma_9,IS,2025_06_18,above_+3sigma,1750280275,1.33,5.519606636862706,5.519606636862706,-16.0,0.0,-16.0,20,Wed
L2_5s_price_sigma_9,IS,2025_06_19,above_+3sigma,1750305225,1.67,3.400491616441361,3.400491616441361,17.75,22.25,-3.75,3,Thu
L2_5s_price_sigma_9,IS,2025_06_19,below_-3sigma,1750305735,1.58,3.9286658904140372,-3.9286658904140372,7.5,14.0,-9.5,4,Thu
L2_5s_price_sigma_9,IS,2025_06_19,above_+3sigma,1750312120,2.75,3.737830883952882,3.737830883952882,-27.0,14.0,-27.0,5,Thu
L2_5s_price_sigma_9,IS,2025_06_19,above_+3sigma,1750333900,2.0,7.668891021320438,7.668891021320438,-65.5,10.0,-66.25,11,Thu
L2_5s_price_sigma_9,IS,2025_06_19,above_+3sigma,1750371850,1.17,6.230226557561043,6.230226557561043,43.0,76.75,-13.25,22,Thu
L2_5s_price_sigma_9,IS,2025_06_20,above_+3sigma,1750378705,1.17,3.5732780782265605,3.5732780782265605,-15.5,24.25,-48.75,0,Fri
L2_5s_price_sigma_9,IS,2025_06_20,above_+3sigma,1750380725,1.25,4.0240340639549865,4.0240340639549865,-13.5,9.75,-37.75,0,Fri
L2_5s_price_sigma_9,IS,2025_06_20,below_-3sigma,1750383170,1.17,3.6068021779714106,-3.6068021779714106,24.5,24.5,-14.25,1,Fri
L2_5s_price_sigma_9,IS,2025_06_20,above_+3sigma,1750395015,1.5,3.0630549601000716,3.0630549601000716,-1.0,7.0,-24.5,4,Fri
L2_5s_price_sigma_9,IS,2025_06_20,above_+3sigma,1750407510,1.83,3.7333828789653656,3.7333828789653656,-30.0,0.0,-70.5,8,Fri
L2_5s_price_sigma_9,IS,2025_09_18,above_+3sigma,1758232940,2.17,6.06782019742107,6.06782019742107,13.25,17.0,-12.0,22,Thu
L2_5s_price_sigma_9,IS,2025_09_19,above_+3sigma,1758244505,1.17,4.55213536392146,4.55213536392146,-8.5,4.0,-10.0,1,Fri
L2_5s_price_sigma_9,IS,2025_09_19,above_+3sigma,1758251485,1.5,3.565373607539142,3.565373607539142,-29.25,3.0,-35.75,3,Fri
L2_5s_price_sigma_9,IS,2025_09_19,above_+3sigma,1758277170,2.42,6.555702781201987,6.555702781201987,-2.5,10.0,-8.75,10,Fri
L2_5s_price_sigma_9,IS,2025_10_15,above_+3sigma,1760561990,60.17,3.102533476463436,3.102533476463436,2.5,2.5,-1.5,20,Wed
L2_5s_price_sigma_9,IS,2025_12_17,above_+3sigma,1765965727,1.08,8.44198530264755,8.44198530264755,21.25,33.25,-0.75,10,Wed
L2_5s_price_sigma_9,IS,2025_12_19,below_-3sigma,1766114949,1.62,4.266082907054652,-4.266082907054652,13.25,31.25,-4.0,3,Fri
L2_5s_price_sigma_9,OOS,2026_01_19,below_-3sigma,1768845595,300.08,7.060195522812917,-7.060195522812917,-6.0,0.0,-6.0,17,Mon
L2_5s_price_sigma_9,OOS,2026_03_20,above_+3sigma,1773978666,1.02,3.2784688939229727,3.2784688939229727,-15.25,13.75,-18.75,3,Fri
