**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,side,n_is,n_oos,P_up_IS,CI_IS_lo,CI_IS_hi,P_up_OOS,sign_match,mean_fwd_IS,mean_fwd_OOS,mean_abs_z,med_dur_min,IS_edge
L2_15m_price_accel_12,below_-3sigma,292,69,0.551,0.494,0.6074,0.5352,1,-3.04,-5.37,4.14,14.92,0.051000000000000045
L1_1h_price_velocity_1b,below_-3sigma,145,32,0.551,0.4703,0.6304,0.3824,0,2.4,-26.3,5.2,59.92,0.051000000000000045
L2_15s_price_sigma_12,above_+3sigma,438,145,0.55,0.5034,0.5962,0.551,1,1.73,4.05,6.05,1.17,0.050000000000000044
L1_5m_vol_velocity_1b,below_-3sigma,397,83,0.5489,0.4999,0.5974,0.3882,0,1.77,-6.2,3.65,4.92,0.048900000000000055
L2_1h_vol_velocity_12,above_+3sigma,124,32,0.5476,0.4605,0.6333,0.5294,1,5.56,-1.5,4.26,59.92,0.047599999999999976
L2_1h_price_sigma_12,above_+3sigma,106,27,0.4537,0.3612,0.5478,0.3103,1,-2.24,-49.19,5.21,119.92,0.04630000000000001
L2_5m_price_velocity_9,below_-3sigma,1464,328,0.543,0.5174,0.5684,0.5394,1,-0.5,-0.25,4.22,4.92,0.04300000000000004
L2_15m_vol_accel_12,below_-3sigma,188,40,0.5421,0.4711,0.6123,0.5714,1,8.23,4.38,3.52,14.92,0.042100000000000026
L1_1m_price_velocity_1b,below_-3sigma,83,12,0.4588,0.3547,0.5648,0.3571,1,-17.16,-3.6,5.05,1.92,0.041200000000000014
L2_1h_vol_accel_12,above_+3sigma,59,11,0.459,0.3367,0.5839,0.5385,0,-10.51,-44.07,4.86,59.92,0.04099999999999998
L3_1m_hurst_15,above_+3sigma,1056,250,0.5406,0.5106,0.5706,0.5079,1,3.11,-2.13,4.64,1.92,0.04059999999999997
L2_1m_price_accel_15,above_+3sigma,35,7,0.5405,0.381,0.6959,,-1,7.14,-39.18,4.58,1.92,0.04049999999999998
L1_5m_price_accel_1b,below_-3sigma,768,186,0.5403,0.505,0.5753,0.5106,1,3.38,-7.56,4.07,4.92,0.0403
L1_15m_bar_range,above_+3sigma,810,181,0.5394,0.5051,0.5736,0.4536,0,3.63,-10.94,6.12,14.92,0.03939999999999999
L2_5m_price_accel_9,above_+3sigma,746,158,0.5388,0.503,0.5744,0.575,1,5.31,3.02,4.08,4.92,0.038799999999999946
L2_15m_vol_accel_12,above_+3sigma,466,111,0.5385,0.4932,0.5834,0.4956,0,4.25,-2.48,11.15,14.92,0.03849999999999998
L3_1m_swing_noise_15,below_-3sigma,141,42,0.5385,0.4567,0.6193,0.4318,0,-2.01,-14.73,4.36,1.92,0.03849999999999998
L1_1h_body,above_+3sigma,123,27,0.536,0.4485,0.6224,0.4138,0,-3.15,1.8,4.69,59.92,0.03600000000000003
L1_1h_body,below_-3sigma,151,32,0.5359,0.4568,0.6142,0.3529,0,0.95,-32.78,5.15,59.92,0.03590000000000004
L3_15s_swing_noise_12,above_+3sigma,82,14,0.5357,0.4292,0.6407,0.5,0,6.04,1.05,15.74,2.17,0.035699999999999954
L1_5m_price_accel_1b,above_+3sigma,887,198,0.5354,0.5026,0.5681,0.5,0,3.0,-6.61,4.1,4.92,0.03539999999999999
L2_5m_vol_mean_9,above_+3sigma,1653,385,0.5353,0.5113,0.5593,0.5039,1,3.65,-2.96,5.69,9.92,0.0353
L3_5m_hurst_9,below_-3sigma,921,230,0.5352,0.503,0.5673,0.5388,1,-0.63,-1.04,4.07,4.92,0.03520000000000001
L2_15s_vol_sigma_12,below_-3sigma,41,5,0.4651,0.32,0.6133,,-1,-2.13,-21.15,9.88,1.08,0.03489999999999999
L1_1h_price_velocity_1b,above_+3sigma,122,26,0.5323,0.4444,0.6191,0.3929,0,-3.72,2.27,4.7,59.92,0.032299999999999995
L2_5m_price_sigma_9,above_+3sigma,1871,476,0.5318,0.5091,0.5543,0.4895,0,0.83,-1.85,5.42,9.75,0.03180000000000005
L2_15m_vol_mean_12,below_-3sigma,175,39,0.5311,0.4575,0.604,0.561,1,1.75,2.47,3.86,14.92,0.031100000000000017
L1_5m_price_velocity_1b,above_+3sigma,880,210,0.5306,0.4976,0.5635,0.5236,1,7.45,2.32,4.4,4.92,0.03059999999999996
L2_15m_price_sigma_12,above_+3sigma,502,128,0.5298,0.4861,0.5732,0.4154,0,-1.34,-17.34,5.3,29.92,0.02980000000000005
L2_1h_vol_mean_12,above_+3sigma,49,13,0.5294,0.3932,0.6634,0.5333,1,6.05,-32.85,4.18,59.92,0.02939999999999998
L3_5m_swing_noise_9,above_+3sigma,747,172,0.5287,0.4929,0.5643,0.4368,0,-2.67,-9.55,4.82,4.92,0.028699999999999948
L3_5m_hurst_9,above_+3sigma,1583,398,0.5287,0.5041,0.5532,0.56,1,1.74,1.61,4.32,4.92,0.028699999999999948
L1_5m_body,above_+3sigma,886,213,0.5282,0.4953,0.5609,0.5163,1,6.92,1.49,4.35,4.92,0.028200000000000003
L2_15m_price_velocity_12,above_+3sigma,356,82,0.5279,0.4762,0.5794,0.4167,0,3.39,1.76,4.15,14.92,0.027900000000000036
L1_5m_vol_accel_1b,above_+3sigma,1042,243,0.5278,0.4975,0.558,0.5184,1,2.21,0.25,6.02,4.92,0.027800000000000047
L1_5m_price_velocity_1b,below_-3sigma,1006,202,0.5278,0.4969,0.5585,0.5049,1,0.45,-8.87,4.42,4.92,0.027800000000000047
L3_15m_hurst_12,below_-3sigma,239,52,0.527,0.4639,0.5896,0.5,0,5.52,-6.24,3.97,14.92,0.027000000000000024
L2_1m_price_sigma_15,above_+3sigma,3972,923,0.5267,0.5111,0.5422,0.507,1,1.11,1.89,5.08,2.92,0.026699999999999946
L1_1h_vol_accel_1b,above_+3sigma,243,53,0.5265,0.464,0.5887,0.4545,0,-4.96,-6.55,11.42,59.92,0.026499999999999968
L2_15m_vol_sigma_12,above_+3sigma,585,138,0.5264,0.486,0.5667,0.5429,1,2.31,1.9,15.68,29.92,0.02639999999999998
L2_1h_vol_sigma_12,above_+3sigma,36,12,0.5263,0.3692,0.6808,0.5,0,-3.24,2.96,9.75,59.92,0.02629999999999999
L2_1m_vol_mean_15,below_-3sigma,2151,503,0.5262,0.5051,0.5473,0.503,1,2.12,-1.4,4.5,1.92,0.0262
L1_15m_vol_velocity_1b,below_-3sigma,177,26,0.4749,0.4023,0.548,0.5,0,-2.4,-3.56,3.7,14.92,0.02510000000000001
L2_5m_price_accel_9,below_-3sigma,819,196,0.525,0.4908,0.559,0.4848,0,-0.14,-2.38,4.13,4.92,0.025000000000000022
L1_1h_vol_accel_1b,below_-3sigma,240,56,0.5248,0.4619,0.5873,0.5,0,-2.1,-5.23,4.38,59.92,0.024800000000000044
L2_1m_vol_velocity_15,below_-3sigma,141,30,0.5245,0.4427,0.6056,0.625,1,1.92,5.62,4.08,1.92,0.024499999999999966
L1_15m_vol_velocity_1b,above_+3sigma,755,184,0.5244,0.4888,0.5599,0.5484,1,2.17,3.37,9.98,14.92,0.024399999999999977
L2_15m_vol_velocity_12,above_+3sigma,628,148,0.5238,0.4848,0.5627,0.5333,1,2.03,0.33,9.23,14.92,0.023800000000000043
L2_15s_vol_mean_12,above_+3sigma,208,66,0.5238,0.4563,0.5909,0.4412,0,9.28,-3.35,7.22,1.17,0.023800000000000043
L2_5m_vol_sigma_9,below_-3sigma,2570,610,0.5237,0.5044,0.543,0.5327,1,0.28,1.27,7.72,4.92,0.023700000000000054
L2_5m_price_velocity_9,above_+3sigma,1317,326,0.5231,0.4962,0.55,0.5,0,1.75,-1.78,4.17,4.92,0.02310000000000001
L1_5m_bar_range,above_+3sigma,2380,539,0.5227,0.5026,0.5427,0.5028,1,1.81,-0.37,5.9,4.92,0.022700000000000053
L1_1h_price_accel_1b,above_+3sigma,132,27,0.5224,0.4379,0.6062,0.4828,0,-0.42,9.14,4.35,59.92,0.022399999999999975
L3_1m_swing_noise_15,above_+3sigma,756,161,0.5224,0.4868,0.5579,0.4601,0,-0.51,-3.7,5.72,1.92,0.022399999999999975
L2_1m_vol_sigma_15,below_-3sigma,5315,1256,0.5212,0.5077,0.5346,0.5254,1,1.14,0.42,11.61,1.92,0.021199999999999997
L1_5m_body,below_-3sigma,1004,207,0.5209,0.49,0.5517,0.4976,0,-0.59,-9.54,4.42,4.92,0.02090000000000003
L2_5m_price_sigma_9,below_-3sigma,857,219,0.5204,0.4869,0.5537,0.4706,0,-1.84,-3.48,4.39,4.92,0.020399999999999974
L3_15m_hurst_12,above_+3sigma,415,100,0.4796,0.4318,0.5276,0.4902,1,5.45,0.17,4.16,14.92,0.020399999999999974
L2_1m_vol_mean_15,above_+3sigma,2740,659,0.5201,0.5013,0.5387,0.5083,1,1.79,2.22,5.51,2.83,0.020100000000000007
L1_15m_price_velocity_1b,below_-3sigma,337,65,0.5192,0.466,0.5721,0.3881,0,-4.25,-32.68,4.8,14.92,0.019199999999999995
L1_1h_vol_velocity_1b,above_+3sigma,318,78,0.5188,0.464,0.5733,0.475,0,-1.43,-14.08,13.68,59.92,0.01880000000000004
L3_1m_hurst_15,below_-3sigma,503,115,0.5188,0.4752,0.5623,0.5556,1,-1.29,8.21,4.41,1.92,0.01880000000000004
L1_5m_vol_accel_1b,below_-3sigma,1747,381,0.5186,0.4952,0.542,0.4987,0,0.46,-1.85,4.19,4.92,0.01859999999999995
L1_15m_price_accel_1b,above_+3sigma,347,60,0.5186,0.4662,0.5708,0.4194,0,4.09,-19.67,4.18,14.92,0.01859999999999995
L1_1h_vol_velocity_1b,below_-3sigma,52,12,0.5185,0.3864,0.6494,0.5,0,-5.2,-5.9,3.47,59.92,0.01849999999999996
L1_5m_vol_velocity_1b,above_+3sigma,2008,472,0.5184,0.4966,0.5402,0.5148,1,0.24,0.54,6.53,4.92,0.018399999999999972
L2_15m_price_sigma_12,below_-3sigma,193,52,0.4821,0.4123,0.5521,0.4815,1,-0.13,-3.6,4.36,14.92,0.017900000000000027
L1_1m_body,below_-3sigma,83,14,0.4824,0.3774,0.5881,0.3125,1,-17.5,-23.95,5.03,1.92,0.017600000000000005
L3_1h_hurst_12,below_-3sigma,56,15,0.5172,0.3897,0.6437,0.4118,0,-5.84,-18.25,4.37,59.92,0.017199999999999993
L2_5m_vol_velocity_9,above_+3sigma,1709,418,0.5172,0.4936,0.5409,0.5143,1,1.24,0.1,6.41,4.92,0.017199999999999993
L2_1m_price_velocity_15,below_-3sigma,1050,254,0.4829,0.4527,0.5131,0.4297,1,-6.39,-8.51,4.49,1.92,0.017100000000000004
L1_15m_body,below_-3sigma,335,65,0.5163,0.463,0.5695,0.3881,0,-4.03,-34.02,4.8,14.92,0.01629999999999998
L2_1m_price_sigma_15,below_-3sigma,1189,306,0.5155,0.4871,0.5439,0.5162,1,-0.16,-1.47,4.68,1.92,0.015499999999999958
L2_5m_vol_mean_9,below_-3sigma,1338,330,0.5149,0.4882,0.5416,0.4789,0,-0.6,-2.57,4.18,4.92,0.014900000000000024
L2_1m_vol_velocity_15,above_+3sigma,585,106,0.5145,0.4741,0.5548,0.4259,0,-2.09,-12.04,7.34,1.92,0.014499999999999957
L1_15m_price_accel_1b,below_-3sigma,302,53,0.5132,0.457,0.5691,0.4364,0,-5.55,-21.0,4.23,14.92,0.01319999999999999
L1_15m_vol_accel_1b,below_-3sigma,727,166,0.513,0.4767,0.5492,0.494,0,-1.55,6.39,4.35,14.92,0.013000000000000012
L2_1m_vol_sigma_15,above_+3sigma,3514,843,0.5114,0.4949,0.5279,0.5136,1,0.21,2.91,12.54,1.92,0.011399999999999966
L3_15m_swing_noise_12,above_+3sigma,266,62,0.5112,0.4514,0.5708,0.4531,0,-5.24,-16.69,4.64,14.92,0.011199999999999988
L1_1m_vol_velocity_1b,above_+3sigma,143,35,0.5103,0.4292,0.5912,0.6216,1,2.25,20.56,7.49,1.92,0.010299999999999976
L2_15m_vol_mean_12,above_+3sigma,534,121,0.5093,0.467,0.5516,0.561,1,0.81,12.36,6.27,44.92,0.009299999999999975
L2_5m_vol_sigma_9,above_+3sigma,1952,470,0.5092,0.487,0.5314,0.5169,1,1.27,-0.22,11.67,4.92,0.009199999999999986
L2_5m_vol_accel_9,above_+3sigma,1261,303,0.5083,0.4807,0.5359,0.541,1,-0.48,-0.61,5.92,4.92,0.008299999999999974
L2_5m_vol_velocity_9,below_-3sigma,1282,305,0.507,0.4797,0.5343,0.5342,1,-0.85,2.05,4.15,4.92,0.007000000000000006
L1_5m_bar_range,below_-3sigma,77,23,0.4937,0.3846,0.6031,0.52,0,7.32,14.29,3.52,4.92,0.006299999999999972
L3_1h_hurst_12,above_+3sigma,105,20,0.4953,0.4013,0.5895,0.5909,0,-1.33,-5.75,4.4,59.92,0.004699999999999982
L1_1h_bar_range,above_+3sigma,333,75,0.4985,0.4451,0.5519,0.4416,1,-2.25,-15.73,6.69,59.92,0.0015000000000000013
L3_5m_swing_noise_9,below_-3sigma,423,122,0.5012,0.4537,0.5486,0.5161,1,-6.01,3.05,4.68,4.92,0.0011999999999999789
L2_1m_price_accel_15,below_-3sigma,32,11,0.5,0.3354,0.6646,0.5385,0,-15.63,32.89,4.84,1.92,0.0
L2_1h_price_accel_12,above_+3sigma,60,7,0.5,0.377,0.623,,-1,-7.18,-6.68,4.17,59.92,0.0
