feature,split,day,side,start_ts,duration_min,max_abs_z,signed_max_z,fwd_ret,fwd_mfe,fwd_mae,tod_hour,dow
L3_1h_swing_noise_12,IS,2025_01_07,above_+3sigma,1736265600,59.92,3.076156710151049,3.076156710151049,-100.75,23.25,-121.25,16,Tue
L3_1h_swing_noise_12,IS,2025_01_07,above_+3sigma,1736283600,59.92,3.9993416457699205,3.9993416457699205,9.75,31.25,-1.75,21,Tue
L3_1h_swing_noise_12,IS,2025_02_25,above_+3sigma,1740499200,59.92,3.5469618283198328,3.5469618283198328,69.25,98.75,-103.0,16,Tue
L3_1h_swing_noise_12,IS,2025_04_21,above_+3sigma,1745244000,59.92,3.674815707500853,3.674815707500853,-52.0,2.75,-89.0,14,Mon
L3_1h_swing_noise_12,IS,2025_04_21,above_+3sigma,1745251200,59.92,3.1131796392121815,3.1131796392121815,-10.25,68.25,-15.5,16,Mon
L3_1h_swing_noise_12,IS,2025_05_01,above_+3sigma,1746093600,59.92,3.4739779434331277,3.4739779434331277,-19.75,14.5,-28.25,10,Thu
L3_1h_swing_noise_12,IS,2025_05_01,above_+3sigma,1746115200,59.92,3.199862385623005,3.199862385623005,-22.25,35.25,-52.25,16,Thu
L3_1h_swing_noise_12,IS,2025_05_06,above_+3sigma,1746522000,59.92,3.35961091134525,3.35961091134525,-10.0,1.75,-48.75,9,Tue
L3_1h_swing_noise_12,IS,2025_05_27,below_-3sigma,1748340000,59.83,3.036453347272034,-3.036453347272034,-38.0,16.5,-38.0,10,Tue
L3_1h_swing_noise_12,IS,2025_07_02,below_-3sigma,1751439600,59.92,14.302391541020933,-14.302391541020933,-53.25,4.75,-53.5,7,Wed
L3_1h_swing_noise_12,IS,2025_08_07,above_+3sigma,1754560800,59.92,3.4671029678405194,3.4671029678405194,28.5,28.5,-4.5,10,Thu
L3_1h_swing_noise_12,IS,2025_08_19,above_+3sigma,1755612000,119.92,6.366177000059364,6.366177000059364,-138.5,42.5,-143.25,14,Tue
L3_1h_swing_noise_12,IS,2025_08_20,above_+3sigma,1755698400,119.92,7.242546708209572,7.242546708209572,-114.0,39.0,-137.5,14,Wed
L3_1h_swing_noise_12,IS,2025_09_16,below_-3sigma,1758060000,59.33,3.5622947104098115,-3.5622947104098115,16.75,21.25,-2.75,22,Tue
L3_1h_swing_noise_12,IS,2025_10_02,below_-3sigma,1759388400,59.92,9.915089824480969,-9.915089824480969,19.5,29.0,-4.25,7,Thu
L3_1h_swing_noise_12,IS,2025_11_20,above_+3sigma,1763661600,119.92,7.992680717805711,7.992680717805711,-81.5,222.5,-128.5,18,Thu
L3_1h_swing_noise_12,IS,2025_12_17,above_+3sigma,1765990800,59.93,3.0489296641558603,3.0489296641558603,1.25,45.25,-51.25,17,Wed
L3_1h_swing_noise_12,OOS,2026_02_03,below_-3sigma,1770130800,59.92,6.978177262043966,-6.978177262043966,-22.0,11.5,-151.25,15,Tue
L3_1h_swing_noise_12,OOS,2026_02_25,above_+3sigma,1772031600,59.92,10.072716506911771,10.072716506911771,-42.5,17.0,-75.5,15,Wed
L3_1h_swing_noise_12,OOS,2026_03_18,above_+3sigma,1773864000,179.75,4.342616172697288,4.342616172697288,-19.25,27.5,-79.5,20,Wed
